Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LA1=2_Wax1=0.txt
Log File Name:                   LA1=2_Wax1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            489313112
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LA1=2_Wax1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-51.204599	181	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.150144	0.150144	0.150144	0.150144	0.150144	0.150144	0.150144	0.301826	0.229452	0.268195	0.200526	0.173627	
12000	-51.046309	18	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.118111	0.118111	0.118111	0.118111	0.118111	0.118111	0.118111	0.283639	0.234465	0.263306	0.218590	0.522766	
13000	-51.201268	329	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.132848	0.132848	0.132848	0.132848	0.132848	0.132848	0.132848	0.331150	0.225517	0.260567	0.182767	0.294315	
14000	-50.851623	324	1	4	'Z 0 Z Z Z 0 0 0 	D	0.000000	0.079959	0.000000	0.000000	0.000000	0.079959	0.079959	0.079959	1.000000	0.000000	0.000000	0.000000	16.273085	
15000	-51.807893	213	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.232564	0.232564	0.232564	0.232564	0.232564	0.232564	0.232564	0.274770	0.244527	0.250680	0.230023	21.432315	
16000	-53.155979	720	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.230711	0.000000	0.230711	0.230711	0.230711	0.230711	0.230711	0.374259	0.121368	0.305308	0.199065	6.453309	
17000	-52.345210	801	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.182793	0.182793	0.182793	0.182793	0.182793	0.182793	0.000000	0.299672	0.250472	0.256181	0.193675	10.961041	
18000	-51.628276	397	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.108923	0.108923	0.108923	0.108923	0.108923	0.108923	0.108923	0.311869	0.233349	0.257264	0.197518	10.151982	
19000	-52.740756	262	2	2	'Z 1 Z 1 1 0 0 1 	D	0.000000	2.265162	0.000000	2.265162	2.265162	0.498646	0.498646	2.265162	0.250000	0.250000	0.250000	0.250000	8.495461	
20000	-52.152754	231	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.086562	0.086562	0.086562	0.086562	0.086562	0.086562	0.086562	0.234802	0.185965	0.356973	0.222259	0.052587	
21000	-51.696518	970	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	0.080098	0.000000	0.000000	0.080098	0.080098	0.080098	0.080098	0.367190	0.000000	0.487754	0.145057	0.430604	
22000	-51.332742	508	1	4	'Z 0 Z Z Z 0 0 0 	D	0.000000	0.116276	0.000000	0.000000	0.000000	0.116276	0.116276	0.116276	1.000000	0.000000	0.000000	0.000000	0.814419	
