Options:
Model:                           Discrete: Independent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LA1=2_Wax1=2.txt
Log File Name:                   LA1=2_Wax1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3807007720
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LA1=2_Wax1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-65.680736	432	1	0	'0 0 0 0 	0.109020	0.109020	0.109020	0.109020	0.296213	0.195801	0.305829	0.202157	66.857337	
12000	-65.763705	350	1	0	'0 0 0 0 	0.085667	0.085667	0.085667	0.085667	0.246047	0.169049	0.346701	0.238204	60.528334	
13000	-65.018312	71	1	0	'0 0 0 0 	0.075761	0.075761	0.075761	0.075761	0.285579	0.182731	0.324229	0.207461	55.456666	
14000	-67.427991	414	1	0	'0 0 0 0 	0.224855	0.224855	0.224855	0.224855	0.278545	0.231507	0.267566	0.222382	75.994350	
15000	-65.467061	901	1	0	'0 0 0 0 	0.069051	0.069051	0.069051	0.069051	0.276373	0.144357	0.380516	0.198754	87.020104	
16000	-65.591600	413	1	0	'0 0 0 0 	0.095174	0.095174	0.095174	0.095174	0.298429	0.201408	0.298624	0.201539	96.703368	
17000	-66.394542	558	1	0	'0 0 0 0 	0.141581	0.141581	0.141581	0.141581	0.283838	0.214696	0.285507	0.215959	80.354363	
18000	-68.230418	236	1	0	'0 0 0 0 	0.125165	0.125165	0.125165	0.125165	0.288311	0.219197	0.279780	0.212712	73.598567	
19000	-64.439388	521	1	0	'0 0 0 0 	0.053015	0.053015	0.053015	0.053015	0.258540	0.154671	0.367145	0.219643	79.999815	
20000	-65.913075	136	1	0	'0 0 0 0 	0.106729	0.106729	0.106729	0.106729	0.267051	0.227662	0.272759	0.232528	65.152762	
21000	-65.496604	329	1	0	'0 0 0 0 	0.067306	0.067306	0.067306	0.067306	0.275570	0.133894	0.397432	0.193104	77.932403	
22000	-66.086106	198	1	0	'0 0 0 0 	0.095394	0.095394	0.095394	0.095394	0.286058	0.192052	0.312253	0.209638	71.407081	
23000	-65.635377	437	1	0	'0 0 0 0 	0.069943	0.069943	0.069943	0.069943	0.272122	0.150189	0.372242	0.205447	86.694702	
24000	-65.315578	349	1	0	'0 0 0 0 	0.056398	0.056398	0.056398	0.056398	0.196180	0.130441	0.404455	0.268924	81.439271	
