Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LA1=0_Wax1=2.txt
Log File Name:                   LA1=0_Wax1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1026183720
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LA1=0_Wax1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-58.155241	302	1	1	'0 0 0 0 0 0 Z 0 	D	0.104135	0.104135	0.104135	0.104135	0.104135	0.104135	0.000000	0.104135	0.390033	0.271530	0.239339	0.099098	27.317349	
12000	-55.271081	565	1	0	'0 0 0 0 0 0 0 0 	I	0.080428	0.080428	0.080428	0.080428	0.080428	0.080428	0.080428	0.080428	0.345896	0.225028	0.259957	0.169119	37.594439	
13000	-61.393460	651	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.294422	0.294422	0.294422	0.294422	0.294422	0.294422	0.294422	0.207353	0.267240	0.244003	0.281404	39.405589	
14000	-55.210593	565	1	0	'0 0 0 0 0 0 0 0 	I	0.064975	0.064975	0.064975	0.064975	0.064975	0.064975	0.064975	0.064975	0.347876	0.223714	0.260736	0.167675	35.429630	
15000	-58.550604	148	1	3	'0 0 0 0 Z Z 0 Z 	D	0.054357	0.054357	0.054357	0.054357	0.000000	0.000000	0.054357	0.000000	0.307949	0.487076	0.000000	0.204976	23.053261	
16000	-57.355207	651	1	1	'0 0 0 0 0 0 0 Z 	D	0.041443	0.041443	0.041443	0.041443	0.041443	0.041443	0.041443	0.000000	0.347869	0.254325	0.310022	0.087784	9.678251	
17000	-55.622807	970	1	1	'0 0 0 0 0 0 0 Z 	D	0.051088	0.051088	0.051088	0.051088	0.051088	0.051088	0.051088	0.000000	0.417979	0.233768	0.296495	0.051759	1.608858	
18000	-57.434376	564	1	1	'0 0 0 Z 0 0 0 0 	D	0.058805	0.058805	0.058805	0.000000	0.058805	0.058805	0.058805	0.058805	0.304492	0.045713	0.410654	0.239140	16.596466	
19000	-54.890510	751	1	0	'0 0 0 0 0 0 0 0 	I	0.063660	0.063660	0.063660	0.063660	0.063660	0.063660	0.063660	0.063660	0.398561	0.229746	0.235781	0.135913	13.138193	
20000	-57.969620	522	1	2	'0 0 Z 0 0 Z 0 0 	D	0.091488	0.091488	0.000000	0.091488	0.091488	0.000000	0.091488	0.091488	0.631538	0.063947	0.130073	0.174441	21.852458	
21000	-56.981694	95	1	3	'0 0 Z 0 Z 0 Z 0 	D	0.048894	0.048894	0.000000	0.048894	0.000000	0.048894	0.000000	0.048894	1.000000	0.000000	0.000000	0.000000	29.846115	
22000	-55.715325	467	1	1	'0 0 Z 0 0 0 0 0 	D	0.040481	0.040481	0.000000	0.040481	0.040481	0.040481	0.040481	0.040481	0.536600	0.013418	0.317862	0.132119	21.811661	
23000	-54.715813	341	1	1	'0 0 0 0 0 0 Z 0 	D	0.066653	0.066653	0.066653	0.066653	0.066653	0.066653	0.000000	0.066653	0.456654	0.283066	0.204629	0.055650	23.403390	
24000	-55.998418	930	1	0	'0 0 0 0 0 0 0 0 	I	0.107430	0.107430	0.107430	0.107430	0.107430	0.107430	0.107430	0.107430	0.342961	0.225971	0.259854	0.171213	21.477026	
25000	-55.389285	587	1	2	'0 0 0 0 0 0 Z Z 	D	0.078773	0.078773	0.078773	0.078773	0.078773	0.078773	0.000000	0.000000	0.433970	0.295834	0.270195	0.000000	10.745144	
26000	-56.186273	409	1	1	'0 0 0 0 0 0 0 Z 	D	0.109060	0.109060	0.109060	0.109060	0.109060	0.109060	0.109060	0.000000	0.352668	0.253612	0.266497	0.127223	0.899669	
27000	-58.013055	139	1	2	'0 0 0 0 0 0 Z Z 	D	0.046543	0.046543	0.046543	0.046543	0.046543	0.046543	0.000000	0.000000	0.427420	0.320123	0.252457	0.000000	1.769725	
28000	-61.102598	302	1	2	'0 0 0 0 0 Z 0 Z 	D	0.149645	0.149645	0.149645	0.149645	0.149645	0.000000	0.149645	0.000000	0.285583	0.318504	0.166341	0.229572	3.378927	
29000	-56.841435	986	1	2	'0 0 0 0 0 Z 0 Z 	D	0.073243	0.073243	0.073243	0.073243	0.073243	0.000000	0.073243	0.000000	0.424174	0.455949	0.019684	0.100193	6.689573	
30000	-54.765176	581	1	1	'0 0 0 0 0 0 0 Z 	D	0.058161	0.058161	0.058161	0.058161	0.058161	0.058161	0.058161	0.000000	0.403697	0.264476	0.259731	0.072096	0.139427	
31000	-56.172372	606	1	2	'0 0 0 0 0 Z 0 Z 	D	0.041957	0.041957	0.041957	0.041957	0.041957	0.000000	0.041957	0.000000	0.409094	0.454105	0.020582	0.116219	1.558131	
