Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_Wax1=2.txt
Log File Name:                   LL1=2_Wax1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1898597886
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_Wax1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-59.926652	234	1	1	'0 0 0 0 0 Z 0 0 	D	0.109638	0.109638	0.109638	0.109638	0.109638	0.000000	0.109638	0.109638	0.328534	0.338305	0.131518	0.201643	36.721158	
12000	-57.448192	319	1	3	'0 0 0 0 0 Z Z Z 	D	0.062367	0.062367	0.062367	0.062367	0.062367	0.000000	0.000000	0.000000	0.391674	0.540895	0.067430	0.000000	30.856133	
13000	-55.577927	785	1	2	'0 0 0 0 0 Z 0 Z 	D	0.201196	0.201196	0.201196	0.201196	0.201196	0.000000	0.201196	0.000000	0.243528	0.271030	0.211091	0.274351	27.594881	
14000	-57.304407	707	1	0	'0 0 0 0 0 0 0 0 	I	0.079131	0.079131	0.079131	0.079131	0.079131	0.079131	0.079131	0.079131	0.429897	0.239617	0.212206	0.118280	13.305236	
15000	-56.921281	938	1	2	'0 0 0 0 0 Z 0 Z 	D	0.077375	0.077375	0.077375	0.077375	0.077375	0.000000	0.077375	0.000000	0.371918	0.422425	0.041857	0.163800	34.264733	
16000	-60.504446	500	1	3	'0 0 0 0 0 Z Z Z 	D	0.590722	0.590722	0.590722	0.590722	0.590722	0.000000	0.000000	0.000000	0.358825	0.221192	0.419982	0.000000	55.532270	
17000	-54.978069	936	1	3	'0 0 0 0 0 Z Z Z 	D	0.071819	0.071819	0.071819	0.071819	0.071819	0.000000	0.000000	0.000000	0.384703	0.531244	0.084053	0.000000	79.060011	
18000	-59.438051	25	1	1	'0 0 0 0 Z 0 0 0 	D	0.042414	0.042414	0.042414	0.042414	0.000000	0.042414	0.042414	0.042414	0.521718	0.375305	0.005917	0.097060	58.534634	
19000	-57.859467	315	1	4	'0 0 Z 0 0 Z Z Z 	D	0.042851	0.042851	0.000000	0.042851	0.042851	0.000000	0.000000	0.000000	0.976166	0.000000	0.023834	0.000000	58.527524	
20000	-56.342305	31	1	3	'0 0 0 0 0 Z Z Z 	D	0.103451	0.103451	0.103451	0.103451	0.103451	0.000000	0.000000	0.000000	0.391066	0.480307	0.128627	0.000000	55.737799	
21000	-59.424770	664	1	3	'0 0 0 0 Z Z 0 Z 	D	0.049673	0.049673	0.049673	0.049673	0.000000	0.000000	0.049673	0.000000	0.309169	0.477755	0.000000	0.213077	70.119468	
22000	-60.987250	803	1	2	'0 Z 0 0 Z 0 0 0 	D	1.036464	0.000000	1.036464	1.036464	0.000000	1.036464	1.036464	1.036464	0.250242	0.250100	0.249758	0.249900	73.364193	
23000	-57.556647	407	1	2	'0 0 0 0 0 Z 0 Z 	D	0.393996	0.393996	0.393996	0.393996	0.393996	0.000000	0.393996	0.000000	0.251323	0.249453	0.251873	0.247351	65.825761	
24000	-55.495030	964	1	4	'0 0 Z 0 0 Z Z Z 	D	0.085143	0.085143	0.000000	0.085143	0.085143	0.000000	0.000000	0.000000	0.834075	0.000000	0.165925	0.000000	64.581645	
25000	-54.449921	78	1	2	'0 0 0 0 0 Z 0 Z 	D	0.148105	0.148105	0.148105	0.148105	0.148105	0.000000	0.148105	0.000000	0.282111	0.357821	0.109924	0.250144	92.364002	
26000	-57.047674	838	1	1	'0 0 0 0 Z 0 0 0 	D	0.050294	0.050294	0.050294	0.050294	0.000000	0.050294	0.050294	0.050294	0.515817	0.360277	0.014211	0.109695	74.998514	
27000	-55.903037	873	1	1	'0 0 0 0 0 0 Z 0 	D	0.096389	0.096389	0.096389	0.096389	0.096389	0.096389	0.000000	0.096389	0.333929	0.287360	0.242944	0.135768	85.968727	
28000	-58.341475	82	1	0	'0 0 0 0 0 0 0 0 	I	0.054564	0.054564	0.054564	0.054564	0.054564	0.054564	0.054564	0.054564	0.479323	0.260214	0.168816	0.091646	85.645860	
29000	-56.268104	885	1	1	'0 0 0 0 0 Z 0 0 	D	0.128840	0.128840	0.128840	0.128840	0.128840	0.000000	0.128840	0.128840	0.285939	0.306377	0.176628	0.231055	74.298702	
30000	-58.002468	348	1	2	'0 0 0 0 0 Z 0 Z 	D	0.051274	0.051274	0.051274	0.051274	0.051274	0.000000	0.051274	0.000000	0.379581	0.454357	0.024164	0.141898	88.399946	
31000	-57.749527	514	1	2	'0 0 0 0 0 Z 0 Z 	D	0.134549	0.134549	0.134549	0.134549	0.134549	0.000000	0.134549	0.000000	0.337327	0.395277	0.074572	0.192824	94.064961	
32000	-56.515035	75	1	1	'0 0 0 0 0 0 0 Z 	D	0.079020	0.079020	0.079020	0.079020	0.079020	0.079020	0.079020	0.000000	0.464909	0.247038	0.211268	0.076786	96.876301	
33000	-56.959071	522	1	3	'0 0 0 0 0 Z Z Z 	D	0.099364	0.099364	0.099364	0.099364	0.099364	0.000000	0.000000	0.000000	0.401866	0.518084	0.080050	0.000000	96.233267	
34000	-57.611907	862	1	4	'0 Z 0 0 0 Z Z Z 	D	0.188108	0.000000	0.188108	0.188108	0.188108	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	77.181521	
35000	-55.847602	251	1	1	'0 0 0 0 0 0 0 Z 	D	0.096517	0.096517	0.096517	0.096517	0.096517	0.096517	0.096517	0.000000	0.448025	0.243753	0.228953	0.079269	74.178092	
36000	-57.229565	318	1	3	'0 0 0 0 Z Z 0 Z 	D	0.073633	0.073633	0.073633	0.073633	0.000000	0.000000	0.073633	0.000000	0.260354	0.467576	0.000000	0.272070	74.186291	
37000	-57.422653	87	1	1	'0 0 0 0 0 0 Z 0 	D	0.146901	0.146901	0.146901	0.146901	0.146901	0.146901	0.000000	0.146901	0.312432	0.275168	0.246791	0.165609	69.637440	
38000	-55.931181	427	1	3	'0 0 0 0 0 Z Z Z 	D	0.116018	0.116018	0.116018	0.116018	0.116018	0.000000	0.000000	0.000000	0.457422	0.463865	0.078713	0.000000	65.504565	
39000	-55.992612	179	1	1	'0 0 0 0 Z 0 0 0 	D	0.072438	0.072438	0.072438	0.072438	0.000000	0.072438	0.072438	0.072438	0.567569	0.328374	0.010091	0.093966	56.466330	
40000	-58.625401	809	1	3	'0 0 0 0 Z Z 0 Z 	D	0.067644	0.067644	0.067644	0.067644	0.000000	0.000000	0.067644	0.000000	0.281344	0.465550	0.000000	0.253106	50.212415	
41000	-57.361933	134	1	3	'0 0 0 0 0 Z Z Z 	D	0.051296	0.051296	0.051296	0.051296	0.051296	0.000000	0.000000	0.000000	0.440132	0.540155	0.019713	0.000000	56.073390	
42000	-56.944351	262	1	2	'0 0 Z 0 0 Z 0 0 	D	0.042933	0.042933	0.000000	0.042933	0.042933	0.000000	0.042933	0.042933	0.815009	0.011596	0.069664	0.103730	44.947123	
43000	-55.981214	624	1	3	'0 0 0 0 0 Z Z Z 	D	0.254315	0.254315	0.254315	0.254315	0.254315	0.000000	0.000000	0.000000	0.365653	0.329026	0.305320	0.000000	63.222809	
44000	-54.554955	158	1	2	'0 0 0 0 0 Z 0 Z 	D	0.115656	0.115656	0.115656	0.115656	0.115656	0.000000	0.115656	0.000000	0.283098	0.363921	0.102565	0.250416	51.554381	
45000	-57.146849	24	1	3	'0 0 0 0 0 Z Z Z 	D	0.361034	0.361034	0.361034	0.361034	0.361034	0.000000	0.000000	0.000000	0.361009	0.247328	0.391663	0.000000	33.868970	
46000	-57.609067	865	1	3	'0 0 0 0 0 Z Z Z 	D	0.342477	0.342477	0.342477	0.342477	0.342477	0.000000	0.000000	0.000000	0.363472	0.278837	0.357691	0.000000	25.109489	
47000	-54.765274	9	1	3	'0 0 0 0 0 Z Z Z 	D	0.120222	0.120222	0.120222	0.120222	0.120222	0.000000	0.000000	0.000000	0.358983	0.512859	0.128158	0.000000	0.343883	
48000	-55.255848	257	1	4	'0 0 Z 0 0 Z Z Z 	D	0.115084	0.115084	0.000000	0.115084	0.115084	0.000000	0.000000	0.000000	0.701079	0.000000	0.298921	0.000000	7.964680	
49000	-55.832832	805	1	1	'0 0 0 0 0 Z 0 0 	D	0.125439	0.125439	0.125439	0.125439	0.125439	0.000000	0.125439	0.125439	0.275402	0.334914	0.141511	0.248172	3.830790	
50000	-56.604730	689	1	1	'0 0 0 0 0 0 Z 0 	D	0.068134	0.068134	0.068134	0.068134	0.068134	0.068134	0.000000	0.068134	0.433665	0.279385	0.216894	0.070056	9.901572	
51000	-57.323924	465	1	2	'0 0 0 0 0 Z 0 Z 	D	0.340372	0.340372	0.340372	0.340372	0.340372	0.000000	0.340372	0.000000	0.250377	0.251963	0.246943	0.250717	11.811732	
52000	-55.132944	217	1	3	'0 0 0 0 0 Z Z Z 	D	0.069835	0.069835	0.069835	0.069835	0.069835	0.000000	0.000000	0.000000	0.447506	0.498945	0.053549	0.000000	2.068031	
53000	-56.810163	332	1	3	'0 0 0 0 0 Z Z Z 	D	0.084958	0.084958	0.084958	0.084958	0.084958	0.000000	0.000000	0.000000	0.439755	0.489047	0.071198	0.000000	0.274376	
54000	-58.268430	654	1	1	'0 0 0 Z 0 0 0 0 	D	0.081478	0.081478	0.081478	0.000000	0.081478	0.081478	0.081478	0.081478	0.302625	0.059676	0.403743	0.233956	0.582068	
55000	-57.759646	130	1	1	'0 0 0 0 Z 0 0 0 	D	0.079858	0.079858	0.079858	0.079858	0.000000	0.079858	0.079858	0.079858	0.542397	0.332401	0.017870	0.107332	2.024937	
