Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_LA1=0.txt
Log File Name:                   LL1=2_LA1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1462389226
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_LA1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
35000	-62.215806	279	1	3	'0 0 0 0 Z Z 0 Z 	D	0.041719	0.041719	0.041719	0.041719	0.000000	0.000000	0.041719	0.000000	0.395190	0.522902	0.000000	0.081908	14.766528	
36000	-61.343055	232	1	1	'0 0 0 0 0 0 0 Z 	D	0.066072	0.066072	0.066072	0.066072	0.066072	0.066072	0.066072	0.000000	0.460938	0.241715	0.221641	0.075706	21.435216	
37000	-58.452516	98	1	2	'0 0 0 0 0 Z 0 Z 	D	0.315007	0.315007	0.315007	0.315007	0.315007	0.000000	0.315007	0.000000	0.251173	0.254842	0.242749	0.251236	21.990391	
38000	-58.908540	788	1	1	'0 0 0 0 0 0 Z 0 	D	0.181692	0.181692	0.181692	0.181692	0.181692	0.181692	0.000000	0.181692	0.294351	0.266170	0.249293	0.190187	20.358240	
39000	-59.436347	788	1	1	'0 0 0 0 0 0 0 Z 	D	0.160395	0.160395	0.160395	0.160395	0.160395	0.160395	0.160395	0.000000	0.282470	0.258964	0.249599	0.208968	7.393285	
40000	-59.615793	562	1	0	'0 0 0 0 0 0 0 0 	I	0.055727	0.055727	0.055727	0.055727	0.055727	0.055727	0.055727	0.055727	0.453642	0.260773	0.181342	0.104243	16.039061	
41000	-61.421038	554	1	0	'0 0 0 0 0 0 0 0 	I	0.145119	0.145119	0.145119	0.145119	0.145119	0.145119	0.145119	0.145119	0.291769	0.250081	0.246699	0.211450	0.217511	
42000	-58.791234	209	1	0	'0 0 0 0 0 0 0 0 	I	0.067730	0.067730	0.067730	0.067730	0.067730	0.067730	0.067730	0.067730	0.421525	0.268466	0.189389	0.120620	5.714124	
43000	-63.852465	921	1	3	'0 0 0 0 Z Z 0 Z 	D	0.064895	0.064895	0.064895	0.064895	0.000000	0.000000	0.064895	0.000000	0.465512	0.423714	0.000000	0.110775	7.732649	
44000	-59.267815	431	1	2	'0 0 0 0 0 0 Z Z 	D	0.070483	0.070483	0.070483	0.070483	0.070483	0.070483	0.000000	0.000000	0.452420	0.284551	0.263029	0.000000	1.255712	
45000	-65.985054	951	1	3	'0 0 0 Z 0 0 Z Z 	D	0.028106	0.028106	0.028106	0.000000	0.028106	0.028106	0.000000	0.000000	0.527391	0.019079	0.453530	0.000000	0.763433	
46000	-61.640226	733	1	3	'0 0 0 0 0 Z Z Z 	D	0.098356	0.098356	0.098356	0.098356	0.098356	0.000000	0.000000	0.000000	0.443600	0.477344	0.079056	0.000000	1.739599	
47000	-60.702036	208	1	1	'0 0 0 0 0 Z 0 0 	D	0.104559	0.104559	0.104559	0.104559	0.104559	0.000000	0.104559	0.104559	0.317158	0.376475	0.096162	0.210205	2.744964	
48000	-59.801979	204	1	1	'0 0 0 0 0 0 0 Z 	D	0.064255	0.064255	0.064255	0.064255	0.064255	0.064255	0.064255	0.000000	0.395639	0.260730	0.232803	0.110828	6.922435	
49000	-60.904660	462	1	0	'0 0 0 0 0 0 0 0 	I	0.094421	0.094421	0.094421	0.094421	0.094421	0.094421	0.094421	0.094421	0.318346	0.248455	0.243308	0.189891	0.448969	
50000	-62.381539	123	1	1	'0 0 Z 0 0 0 0 0 	D	0.068312	0.068312	0.000000	0.068312	0.068312	0.068312	0.068312	0.068312	0.575524	0.012749	0.315481	0.096246	4.303130	
51000	-65.211976	493	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.238221	0.238221	0.238221	0.238221	0.238221	0.238221	0.238221	0.236622	0.254629	0.248853	0.259896	1.133244	
52000	-65.343995	138	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	8.778697	8.778697	8.778697	8.778697	8.778697	8.778697	8.778697	0.250000	0.250000	0.250000	0.250000	12.621201	
53000	-64.529674	719	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.190459	0.190459	0.190459	0.190459	0.190459	0.190459	0.190459	0.165555	0.307826	0.228472	0.298147	6.632240	
54000	-61.635902	107	2	1	'Z 1 0 1 0 1 0 1 	D	0.000000	8.203912	17.639508	8.203912	17.639508	8.203912	17.639508	8.203912	0.250000	0.250000	0.250000	0.250000	8.828159	
55000	-63.714334	212	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.112930	0.112930	0.112930	0.112930	0.112930	0.112930	0.000000	0.212278	0.297986	0.230898	0.258838	8.642209	
