Options:
Model:                           Discrete: Independent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_LA1=0.txt
Log File Name:                   LL1=2_LA1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3073001891
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_LA1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-59.470389	955	1	0	'0 0 0 0 	0.102715	0.102715	0.102715	0.102715	0.377358	0.252468	0.221789	0.148385	96.574813	
12000	-58.985430	724	1	0	'0 0 0 0 	0.060450	0.060450	0.060450	0.060450	0.463080	0.243462	0.192337	0.101120	98.674433	
13000	-60.626474	706	1	0	'0 0 0 0 	0.076629	0.076629	0.076629	0.076629	0.393017	0.245574	0.222427	0.138982	99.672725	
14000	-60.586378	815	1	0	'0 0 0 0 	0.056626	0.056626	0.056626	0.056626	0.451667	0.264009	0.179439	0.104886	92.629004	
15000	-60.025815	633	1	0	'0 0 0 0 	0.097854	0.097854	0.097854	0.097854	0.332473	0.269418	0.219908	0.178202	92.831943	
16000	-60.455313	27	1	0	'0 0 0 0 	0.088380	0.088380	0.088380	0.088380	0.302627	0.258669	0.236531	0.202173	89.347449	
17000	-60.443804	226	1	0	'0 0 0 0 	0.226644	0.226644	0.226644	0.226644	0.256727	0.251173	0.248741	0.243360	91.453290	
18000	-59.993285	806	1	0	'0 0 0 0 	0.091782	0.091782	0.091782	0.091782	0.329856	0.255896	0.233277	0.180971	92.792959	
19000	-61.467277	626	1	0	'0 0 0 0 	0.112537	0.112537	0.112537	0.112537	0.472684	0.223818	0.205970	0.097528	88.708135	
20000	-60.940510	676	1	0	'0 0 0 0 	0.094543	0.094543	0.094543	0.094543	0.361464	0.272259	0.208918	0.157359	83.616864	
21000	-60.041178	437	1	0	'0 0 0 0 	0.057139	0.057139	0.057139	0.057139	0.430357	0.266634	0.187093	0.115916	80.714390	
22000	-62.428915	960	1	0	'0 0 0 0 	0.118968	0.118968	0.118968	0.118968	0.333196	0.246598	0.241484	0.178722	74.668110	
23000	-60.475735	218	1	0	'0 0 0 0 	0.097899	0.097899	0.097899	0.097899	0.338105	0.258020	0.229066	0.174809	88.115902	
24000	-60.546788	322	1	0	'0 0 0 0 	0.091484	0.091484	0.091484	0.091484	0.349760	0.254081	0.229466	0.166694	78.109994	
25000	-60.232304	429	1	0	'0 0 0 0 	0.086216	0.086216	0.086216	0.086216	0.383851	0.256218	0.215852	0.144080	64.153150	
26000	-60.665687	965	1	0	'0 0 0 0 	0.091605	0.091605	0.091605	0.091605	0.355943	0.248413	0.233020	0.162624	70.771196	
27000	-59.710696	361	1	0	'0 0 0 0 	0.191745	0.191745	0.191745	0.191745	0.258369	0.252235	0.247637	0.241758	90.262579	
28000	-59.360734	483	1	0	'0 0 0 0 	0.238498	0.238498	0.238498	0.238498	0.253060	0.250601	0.249381	0.246958	78.072000	
29000	-60.246898	483	1	0	'0 0 0 0 	0.181134	0.181134	0.181134	0.181134	0.258803	0.253168	0.246700	0.241328	89.643481	
30000	-62.001458	477	1	0	'0 0 0 0 	0.156433	0.156433	0.156433	0.156433	0.299358	0.252500	0.243097	0.205045	91.542079	
31000	-60.741840	1	1	0	'0 0 0 0 	0.128288	0.128288	0.128288	0.128288	0.335755	0.253458	0.234081	0.176706	73.033726	
32000	-58.860010	649	1	0	'0 0 0 0 	0.061510	0.061510	0.061510	0.061510	0.408423	0.256898	0.205450	0.129228	86.541408	
33000	-58.751243	98	1	0	'0 0 0 0 	0.347399	0.347399	0.347399	0.347399	0.250389	0.249989	0.250011	0.249611	66.772475	
34000	-60.595565	188	1	0	'0 0 0 0 	0.049887	0.049887	0.049887	0.049887	0.450543	0.280176	0.166032	0.103249	75.185769	
35000	-61.191002	346	1	0	'0 0 0 0 	0.077639	0.077639	0.077639	0.077639	0.453680	0.263887	0.178567	0.103866	49.182339	
36000	-59.153001	955	1	0	'0 0 0 0 	0.095159	0.095159	0.095159	0.095159	0.389027	0.253394	0.216537	0.141042	54.977921	
37000	-60.027893	843	1	0	'0 0 0 0 	0.097484	0.097484	0.097484	0.097484	0.357760	0.271617	0.210675	0.159948	54.404787	
38000	-58.142780	788	1	0	'0 0 0 0 	0.258324	0.258324	0.258324	0.258324	0.252448	0.250278	0.249711	0.247564	69.378787	
39000	-61.805077	89	1	0	'0 0 0 0 	0.172336	0.172336	0.172336	0.172336	0.329127	0.240823	0.248339	0.181711	73.103208	
40000	-59.830407	368	1	0	'0 0 0 0 	0.097256	0.097256	0.097256	0.097256	0.374015	0.268044	0.208509	0.149432	99.005400	
41000	-60.234453	389	1	0	'0 0 0 0 	0.091436	0.091436	0.091436	0.091436	0.338095	0.257333	0.229724	0.174849	88.908736	
42000	-60.273136	640	1	0	'0 0 0 0 	0.048362	0.048362	0.048362	0.048362	0.397657	0.282178	0.187274	0.132890	96.272278	
43000	-59.139552	731	1	0	'0 0 0 0 	0.076637	0.076637	0.076637	0.076637	0.381958	0.256895	0.215923	0.145224	94.622537	
44000	-59.247004	153	1	0	'0 0 0 0 	0.077237	0.077237	0.077237	0.077237	0.415671	0.266856	0.193347	0.124127	95.336342	
45000	-59.341615	560	1	0	'0 0 0 0 	0.099807	0.099807	0.099807	0.099807	0.337363	0.250985	0.236044	0.175608	98.479392	
46000	-61.119613	348	1	0	'0 0 0 0 	0.077348	0.077348	0.077348	0.077348	0.393226	0.252862	0.215400	0.138512	97.618424	
47000	-61.711466	881	1	0	'0 0 0 0 	0.090462	0.090462	0.090462	0.090462	0.377595	0.269650	0.205793	0.146962	97.964214	
48000	-60.007494	494	1	0	'0 0 0 0 	0.067198	0.067198	0.067198	0.067198	0.453189	0.273623	0.170341	0.102847	90.647180	
49000	-63.114936	894	1	0	'0 0 0 0 	0.063899	0.063899	0.063899	0.063899	0.399208	0.306073	0.166819	0.127900	89.983713	
50000	-59.854217	918	1	0	'0 0 0 0 	0.060671	0.060671	0.060671	0.060671	0.345380	0.276264	0.210211	0.168145	94.344116	
51000	-60.056711	34	1	0	'0 0 0 0 	0.081481	0.081481	0.081481	0.081481	0.351739	0.265770	0.217870	0.164621	94.086441	
52000	-59.628910	273	1	0	'0 0 0 0 	0.057229	0.057229	0.057229	0.057229	0.471036	0.241692	0.189855	0.097416	91.565674	
53000	-60.445004	652	1	0	'0 0 0 0 	0.064208	0.064208	0.064208	0.064208	0.383696	0.256288	0.215844	0.144172	87.322845	
54000	-60.740616	416	1	0	'0 0 0 0 	0.106969	0.106969	0.106969	0.106969	0.409092	0.254287	0.207587	0.129034	83.244327	
55000	-60.320156	941	1	0	'0 0 0 0 	0.049671	0.049671	0.049671	0.049671	0.436261	0.271095	0.180488	0.112156	68.272025	
56000	-60.093423	437	1	0	'0 0 0 0 	0.066608	0.066608	0.066608	0.066608	0.412491	0.261566	0.199462	0.126481	64.700923	
57000	-60.597631	135	1	0	'0 0 0 0 	0.092889	0.092889	0.092889	0.092889	0.328398	0.252227	0.237196	0.182179	57.257604	
58000	-59.808083	139	1	0	'0 0 0 0 	0.069018	0.069018	0.069018	0.069018	0.381238	0.261793	0.211639	0.145331	48.240196	
59000	-60.106987	946	1	0	'0 0 0 0 	0.069443	0.069443	0.069443	0.069443	0.415039	0.256080	0.203389	0.125492	54.201356	
60000	-59.592940	431	1	0	'0 0 0 0 	0.081135	0.081135	0.081135	0.081135	0.376549	0.247486	0.226861	0.149104	50.690290	
61000	-60.003867	636	1	0	'0 0 0 0 	0.081168	0.081168	0.081168	0.081168	0.389633	0.257194	0.212743	0.140430	48.007416	
62000	-60.585335	469	1	0	'0 0 0 0 	0.080550	0.080550	0.080550	0.080550	0.436138	0.230946	0.217660	0.115256	31.453571	
63000	-58.810884	788	1	0	'0 0 0 0 	0.176359	0.176359	0.176359	0.176359	0.261210	0.254025	0.245763	0.239002	39.312758	
64000	-61.360243	289	1	0	'0 0 0 0 	0.078071	0.078071	0.078071	0.078071	0.368718	0.276361	0.202867	0.152053	24.283292	
65000	-60.542352	168	1	0	'0 0 0 0 	0.039304	0.039304	0.039304	0.039304	0.534972	0.264146	0.134480	0.066401	1.553890	
66000	-60.087416	756	1	0	'0 0 0 0 	0.043941	0.043941	0.043941	0.043941	0.427996	0.258952	0.195044	0.118008	12.480274	
67000	-60.094250	81	1	0	'0 0 0 0 	0.050625	0.050625	0.050625	0.050625	0.509214	0.284712	0.132173	0.073901	27.566940	
68000	-60.670485	373	1	0	'0 0 0 0 	0.082678	0.082678	0.082678	0.082678	0.347859	0.257677	0.226606	0.167859	33.996400	
69000	-60.564030	135	1	0	'0 0 0 0 	0.092203	0.092203	0.092203	0.092203	0.329271	0.252264	0.236939	0.181526	34.758874	
70000	-61.446159	769	1	0	'0 0 0 0 	0.065404	0.065404	0.065404	0.065404	0.461199	0.253306	0.184281	0.101214	30.404723	
71000	-61.855706	658	2	0	'0 1 0 1 	10.063038	39.430162	10.063038	39.430162	0.250000	0.250000	0.250000	0.250000	26.717708	
72000	-61.074018	745	2	0	'0 1 0 1 	8.838515	27.939739	8.838515	27.939739	0.250000	0.250000	0.250000	0.250000	15.115353	
73000	-59.954521	873	2	0	'0 1 0 1 	1.113834	2.907413	1.113834	2.907413	0.250000	0.250000	0.250000	0.250000	3.118526	
74000	-59.295840	456	1	0	'0 0 0 0 	0.058521	0.058521	0.058521	0.058521	0.454965	0.239308	0.200346	0.105380	0.296543	
75000	-59.444572	30	1	0	'0 0 0 0 	0.078821	0.078821	0.078821	0.078821	0.382419	0.248833	0.223392	0.145357	13.287493	
76000	-58.153011	98	1	0	'0 0 0 0 	0.236677	0.236677	0.236677	0.236677	0.253595	0.250689	0.249287	0.246430	17.580439	
77000	-59.708279	355	1	0	'0 0 0 0 	0.067818	0.067818	0.067818	0.067818	0.406368	0.244314	0.218158	0.131159	0.099466	
78000	-60.288777	524	1	0	'0 0 0 0 	0.102433	0.102433	0.102433	0.102433	0.328491	0.255775	0.233737	0.181996	6.723787	
79000	-59.775810	945	1	0	'0 0 0 0 	0.102756	0.102756	0.102756	0.102756	0.338085	0.255032	0.231929	0.174954	0.397503	
