Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_LA1=2.txt
Log File Name:                   LL1=2_LA1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            791300903
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_LA1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-70.492187	317	1	1	'0 Z 0 0 0 0 0 0 	D	24.870520	0.000000	24.870520	24.870520	24.870520	24.870520	24.870520	24.870520	0.250000	0.250000	0.250000	0.250000	67.118878	
12000	-69.177354	98	1	2	'0 Z 0 0 Z 0 0 0 	D	2.043451	0.000000	2.043451	2.043451	0.000000	2.043451	2.043451	2.043451	0.250001	0.250000	0.249999	0.250000	65.246766	
13000	-69.894453	28	1	1	'0 Z 0 0 0 0 0 0 	D	1.257832	0.000000	1.257832	1.257832	1.257832	1.257832	1.257832	1.257832	0.250000	0.250000	0.250000	0.250000	52.358893	
14000	-70.083754	195	1	1	'0 Z 0 0 0 0 0 0 	D	6.901181	0.000000	6.901181	6.901181	6.901181	6.901181	6.901181	6.901181	0.250000	0.250000	0.250000	0.250000	55.443286	
15000	-74.859896	123	1	0	'0 0 0 0 0 0 0 0 	I	40.522420	40.522420	40.522420	40.522420	40.522420	40.522420	40.522420	40.522420	0.250000	0.250000	0.250000	0.250000	57.729272	
16000	-70.535823	326	1	1	'0 Z 0 0 0 0 0 0 	D	11.225497	0.000000	11.225497	11.225497	11.225497	11.225497	11.225497	11.225497	0.250000	0.250000	0.250000	0.250000	59.551602	
17000	-70.535823	776	1	1	'0 Z 0 0 0 0 0 0 	D	47.623518	0.000000	47.623518	47.623518	47.623518	47.623518	47.623518	47.623518	0.250000	0.250000	0.250000	0.250000	69.785241	
18000	-70.535823	526	1	1	'0 Z 0 0 0 0 0 0 	D	52.428990	0.000000	52.428990	52.428990	52.428990	52.428990	52.428990	52.428990	0.250000	0.250000	0.250000	0.250000	60.789592	
19000	-70.535823	552	1	1	'0 Z 0 0 0 0 0 0 	D	63.669205	0.000000	63.669205	63.669205	63.669205	63.669205	63.669205	63.669205	0.250000	0.250000	0.250000	0.250000	62.850787	
20000	-70.535823	744	1	1	'0 Z 0 0 0 0 0 0 	D	72.026941	0.000000	72.026941	72.026941	72.026941	72.026941	72.026941	72.026941	0.250000	0.250000	0.250000	0.250000	58.439170	
21000	-70.535823	375	1	1	'0 Z 0 0 0 0 0 0 	D	24.055389	0.000000	24.055389	24.055389	24.055389	24.055389	24.055389	24.055389	0.250000	0.250000	0.250000	0.250000	51.424456	
22000	-70.535823	729	1	1	'0 Z 0 0 0 0 0 0 	D	68.409556	0.000000	68.409556	68.409556	68.409556	68.409556	68.409556	68.409556	0.250000	0.250000	0.250000	0.250000	42.488128	
23000	-70.535823	51	1	1	'0 Z 0 0 0 0 0 0 	D	9.336072	0.000000	9.336072	9.336072	9.336072	9.336072	9.336072	9.336072	0.250000	0.250000	0.250000	0.250000	55.907301	
