Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_Wax1=0.txt
Log File Name:                   LL1=2_Wax1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            254430252
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_Wax1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
35000	-50.603472	489	1	3	'0 0 0 0 Z Z 0 Z 	D	0.067976	0.067976	0.067976	0.067976	0.000000	0.000000	0.067976	0.000000	0.330764	0.460327	0.000000	0.208909	1.933936	
36000	-44.878674	407	2	2	'1 0 0 1 0 Z 1 Z 	D	0.071151	0.213322	0.213322	0.071151	0.213322	0.000000	0.071151	0.000000	0.095675	0.264389	0.065152	0.574784	1.416274	
37000	-50.231761	164	1	2	'0 0 Z Z 0 0 0 0 	D	0.036007	0.036007	0.000000	0.000000	0.036007	0.036007	0.036007	0.036007	0.528925	0.000000	0.374045	0.097030	0.393116	
38000	-48.786049	364	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	0.159023	0.000000	0.000000	0.159023	0.159023	0.159023	0.000000	0.578353	0.000000	0.421647	0.000000	0.394013	
39000	-49.872899	930	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	0.117177	0.000000	0.000000	0.117177	0.117177	0.117177	0.117177	0.455863	0.000000	0.398048	0.146089	1.329787	
40000	-49.208241	491	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.107308	0.107308	0.107308	0.107308	0.107308	0.107308	0.000000	0.234898	0.300194	0.241134	0.223774	9.238722	
41000	-49.492145	12	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	0.186597	0.000000	0.000000	0.186597	0.186597	0.186597	0.186597	0.541582	0.000000	0.350384	0.108034	12.440046	
42000	-48.030941	976	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	0.115729	0.000000	0.000000	0.115729	0.115729	0.115729	0.115729	0.494470	0.000000	0.378546	0.126985	14.902783	
43000	-46.910934	951	1	2	'0 0 0 0 0 0 Z Z 	D	0.034386	0.034386	0.034386	0.034386	0.034386	0.034386	0.000000	0.000000	0.432201	0.385119	0.182680	0.000000	0.523508	
44000	-46.347788	815	1	3	'0 0 0 0 0 Z Z Z 	D	0.057233	0.057233	0.057233	0.057233	0.057233	0.000000	0.000000	0.000000	0.426643	0.553790	0.019567	0.000000	4.257892	
45000	-47.320683	352	1	1	'0 0 0 0 0 0 Z 0 	D	0.053946	0.053946	0.053946	0.053946	0.053946	0.053946	0.000000	0.053946	0.460937	0.313846	0.181904	0.043313	0.820199	
46000	-46.089505	75	1	3	'0 0 0 0 0 Z Z Z 	D	0.060765	0.060765	0.060765	0.060765	0.060765	0.000000	0.000000	0.000000	0.468986	0.506639	0.024376	0.000000	0.842627	
