Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=0_LA1=2.txt
Log File Name:                   LL1=0_LA1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2066367834
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=0_LA1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-59.805988	18	1	1	'0 Z 0 0 0 0 0 0 	D	0.150670	0.000000	0.150670	0.150670	0.150670	0.150670	0.150670	0.150670	0.278442	0.255614	0.239210	0.226734	75.145837	
12000	-63.368786	205	1	1	'0 Z 0 0 0 0 0 0 	D	21.772411	0.000000	21.772411	21.772411	21.772411	21.772411	21.772411	21.772411	0.250000	0.250000	0.250000	0.250000	70.317069	
13000	-59.417846	560	2	1	'1 Z 1 0 1 0 1 1 	D	100.000000	0.000000	100.000000	38.511875	100.000000	38.511875	100.000000	100.000000	0.250000	0.250000	0.250000	0.250000	62.936595	
14000	-61.232366	128	1	2	'0 Z 0 0 0 0 Z 0 	D	0.151852	0.000000	0.151852	0.151852	0.151852	0.151852	0.000000	0.151852	0.360813	0.261482	0.243021	0.134684	54.134881	
15000	-63.368786	241	1	1	'0 Z 0 0 0 0 0 0 	D	7.334190	0.000000	7.334190	7.334190	7.334190	7.334190	7.334190	7.334190	0.250000	0.250000	0.250000	0.250000	52.031989	
16000	-63.368786	106	1	1	'0 Z 0 0 0 0 0 0 	D	11.473803	0.000000	11.473803	11.473803	11.473803	11.473803	11.473803	11.473803	0.250000	0.250000	0.250000	0.250000	64.886573	
17000	-60.512321	344	2	1	'1 Z 1 0 1 1 1 1 	D	41.303826	0.000000	41.303826	9.225737	41.303826	41.303826	41.303826	41.303826	0.250000	0.250000	0.250000	0.250000	55.520793	
18000	-63.368786	851	1	1	'0 Z 0 0 0 0 0 0 	D	23.791044	0.000000	23.791044	23.791044	23.791044	23.791044	23.791044	23.791044	0.250000	0.250000	0.250000	0.250000	47.079954	
19000	-63.368997	225	1	1	'0 Z 0 0 0 0 0 0 	D	46.990409	0.000000	46.990409	46.990409	46.990409	46.990409	46.990409	46.990409	0.250000	0.250000	0.250000	0.250000	56.968782	
20000	-63.368786	663	1	1	'0 Z 0 0 0 0 0 0 	D	6.875769	0.000000	6.875769	6.875769	6.875769	6.875769	6.875769	6.875769	0.250000	0.250000	0.250000	0.250000	60.619355	
21000	-63.368786	991	1	1	'0 Z 0 0 0 0 0 0 	D	71.464048	0.000000	71.464048	71.464048	71.464048	71.464048	71.464048	71.464048	0.250000	0.250000	0.250000	0.250000	70.291749	
22000	-59.785292	571	2	2	'0 Z 0 1 1 Z 0 1 	D	84.913596	0.000000	84.913596	27.789578	27.789578	0.000000	84.913596	27.789578	0.250000	0.250000	0.250000	0.250000	98.757856	
23000	-63.438079	762	1	1	'0 Z 0 0 0 0 0 0 	D	15.376488	0.000000	15.376488	15.376488	15.376488	15.376488	15.376488	15.376488	0.250000	0.250000	0.250000	0.250000	82.829447	
24000	-63.368786	328	1	1	'0 Z 0 0 0 0 0 0 	D	58.964186	0.000000	58.964186	58.964186	58.964186	58.964186	58.964186	58.964186	0.250000	0.250000	0.250000	0.250000	90.207929	
25000	-59.552432	219	2	2	'0 Z 0 1 0 1 Z 0 	D	100.000000	0.000000	100.000000	13.191191	100.000000	13.191191	0.000000	100.000000	0.250000	0.250000	0.250000	0.250000	78.620519	
26000	-61.542617	178	1	1	'0 Z 0 0 0 0 0 0 	D	0.095488	0.000000	0.095488	0.095488	0.095488	0.095488	0.095488	0.095488	0.244379	0.300278	0.217023	0.238319	78.796125	
27000	-63.368786	261	1	1	'0 Z 0 0 0 0 0 0 	D	4.683367	0.000000	4.683367	4.683367	4.683367	4.683367	4.683367	4.683367	0.250000	0.250000	0.250000	0.250000	75.249589	
28000	-63.381237	992	1	1	'0 Z 0 0 0 0 0 0 	D	27.448948	0.000000	27.448948	27.448948	27.448948	27.448948	27.448948	27.448948	0.250000	0.250000	0.250000	0.250000	55.949709	
29000	-63.368786	133	1	1	'0 Z 0 0 0 0 0 0 	D	26.544261	0.000000	26.544261	26.544261	26.544261	26.544261	26.544261	26.544261	0.250000	0.250000	0.250000	0.250000	47.949333	
30000	-63.368786	156	1	1	'0 Z 0 0 0 0 0 0 	D	7.915507	0.000000	7.915507	7.915507	7.915507	7.915507	7.915507	7.915507	0.250000	0.250000	0.250000	0.250000	51.057421	
31000	-63.368786	315	1	1	'0 Z 0 0 0 0 0 0 	D	38.771765	0.000000	38.771765	38.771765	38.771765	38.771765	38.771765	38.771765	0.250000	0.250000	0.250000	0.250000	49.880107	
32000	-63.363862	553	1	1	'0 Z 0 0 0 0 0 0 	D	1.292583	0.000000	1.292583	1.292583	1.292583	1.292583	1.292583	1.292583	0.250000	0.250000	0.250000	0.250000	57.630573	
33000	-63.368786	238	1	1	'0 Z 0 0 0 0 0 0 	D	71.079295	0.000000	71.079295	71.079295	71.079295	71.079295	71.079295	71.079295	0.250000	0.250000	0.250000	0.250000	34.827212	
34000	-63.368786	5	1	1	'0 Z 0 0 0 0 0 0 	D	10.756837	0.000000	10.756837	10.756837	10.756837	10.756837	10.756837	10.756837	0.250000	0.250000	0.250000	0.250000	15.417388	
35000	-59.858552	34	2	2	'1 Z 1 0 1 1 Z 1 	D	24.019252	0.000000	24.019252	2.596426	24.019252	24.019252	0.000000	24.019252	0.250000	0.250000	0.250000	0.250000	17.662281	
36000	-63.368786	146	1	1	'0 Z 0 0 0 0 0 0 	D	24.579636	0.000000	24.579636	24.579636	24.579636	24.579636	24.579636	24.579636	0.250000	0.250000	0.250000	0.250000	19.767927	
37000	-61.045616	887	1	1	'0 Z 0 0 0 0 0 0 	D	0.235419	0.000000	0.235419	0.235419	0.235419	0.235419	0.235419	0.235419	0.259119	0.249292	0.248769	0.242819	21.519245	
38000	-60.842374	416	1	1	'0 Z 0 0 0 0 0 0 	D	0.336005	0.000000	0.336005	0.336005	0.336005	0.336005	0.336005	0.336005	0.266735	0.248728	0.247730	0.236807	23.069130	
39000	-62.862171	980	1	2	'0 Z 0 0 Z 0 0 0 	D	0.180984	0.000000	0.180984	0.180984	0.000000	0.180984	0.180984	0.180984	0.457693	0.320815	0.064986	0.156506	41.530419	
