Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=0_LA1=2.txt
Log File Name:                   LL1=0_LA1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2066367834
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=0_LA1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
40000	-63.368786	399	1	1	'0 Z 0 0 0 0 0 0 	D	5.746160	0.000000	5.746160	5.746160	5.746160	5.746160	5.746160	5.746160	0.250000	0.250000	0.250000	0.250000	38.408213	
41000	-63.368830	660	1	1	'0 Z 0 0 0 0 0 0 	D	11.507948	0.000000	11.507948	11.507948	11.507948	11.507948	11.507948	11.507948	0.250000	0.250000	0.250000	0.250000	16.412016	
42000	-63.350471	523	1	1	'0 Z 0 0 0 0 0 0 	D	1.256272	0.000000	1.256272	1.256272	1.256272	1.256272	1.256272	1.256272	0.250000	0.250000	0.250000	0.250000	12.059927	
43000	-63.368786	10	1	1	'0 Z 0 0 0 0 0 0 	D	4.920172	0.000000	4.920172	4.920172	4.920172	4.920172	4.920172	4.920172	0.250000	0.250000	0.250000	0.250000	8.497146	
44000	-62.272904	878	1	1	'0 Z 0 0 0 0 0 0 	D	0.419705	0.000000	0.419705	0.419705	0.419705	0.419705	0.419705	0.419705	0.253620	0.249663	0.249566	0.247151	4.589544	
45000	-59.551941	65	2	0	'0 0 0 0 1 1 1 1 	D	2.418511	2.418511	2.418511	2.418511	14.723019	14.723019	14.723019	14.723019	0.250000	0.250000	0.250000	0.250000	9.709899	
46000	-64.793311	690	1	1	'0 0 0 Z 0 0 0 0 	D	1.555783	1.555783	1.555783	0.000000	1.555783	1.555783	1.555783	1.555783	0.250000	0.250000	0.250000	0.250000	3.385672	
47000	-64.807196	358	1	1	'0 0 0 Z 0 0 0 0 	D	19.414962	19.414962	19.414962	0.000000	19.414962	19.414962	19.414962	19.414962	0.250000	0.250000	0.250000	0.250000	12.863025	
48000	-61.474850	46	2	1	'1 0 1 Z 1 0 1 0 	D	33.720420	11.600953	33.720420	0.000000	33.720420	11.600953	33.720420	11.600953	0.250000	0.250000	0.250000	0.250000	20.586763	
49000	-59.553424	878	2	0	'1 0 1 0 1 0 1 0 	D	5.825869	1.032900	5.825869	1.032900	5.825869	1.032900	5.825869	1.032900	0.250000	0.250000	0.250000	0.250000	19.577721	
50000	-64.796987	303	1	1	'0 0 0 Z 0 0 0 0 	D	0.770355	0.770355	0.770355	0.000000	0.770355	0.770355	0.770355	0.770355	0.250000	0.250000	0.250000	0.250000	1.442913	
51000	-59.595362	27	2	1	'1 0 1 0 1 1 Z 1 	D	4.219011	0.266485	4.219011	0.266485	4.219011	4.219011	0.000000	4.219011	0.250000	0.250000	0.250000	0.250000	3.439258	
52000	-60.983468	733	2	1	'1 Z 1 0 1 1 0 1 	D	5.167605	0.000000	5.167605	2.048650	5.167605	5.167605	2.048650	5.167605	0.250000	0.250000	0.250000	0.250000	2.824739	
53000	-63.368786	238	1	1	'0 Z 0 0 0 0 0 0 	D	6.216949	0.000000	6.216949	6.216949	6.216949	6.216949	6.216949	6.216949	0.250000	0.250000	0.250000	0.250000	5.770719	
54000	-63.368786	751	1	1	'0 Z 0 0 0 0 0 0 	D	8.730965	0.000000	8.730965	8.730965	8.730965	8.730965	8.730965	8.730965	0.250000	0.250000	0.250000	0.250000	12.907099	
55000	-62.680040	702	1	3	'0 Z 0 0 Z Z 0 0 	D	0.166464	0.000000	0.166464	0.166464	0.000000	0.000000	0.166464	0.166464	0.587705	0.331616	0.000000	0.080679	1.186668	
56000	-61.044431	437	1	3	'0 Z 0 0 Z Z 0 0 	D	0.169889	0.000000	0.169889	0.169889	0.000000	0.000000	0.169889	0.169889	0.604944	0.322218	0.000000	0.072838	0.763838	
57000	-60.926523	790	1	1	'0 Z 0 0 0 0 0 0 	D	0.349383	0.000000	0.349383	0.349383	0.349383	0.349383	0.349383	0.349383	0.258120	0.249342	0.248919	0.243619	0.087470	
58000	-60.623881	168	1	1	'0 Z 0 0 0 0 0 0 	D	0.187589	0.000000	0.187589	0.187589	0.187589	0.187589	0.187589	0.187589	0.299992	0.247853	0.241151	0.211004	18.229395	
59000	-63.368786	40	1	1	'0 Z 0 0 0 0 0 0 	D	8.280697	0.000000	8.280697	8.280697	8.280697	8.280697	8.280697	8.280697	0.250000	0.250000	0.250000	0.250000	8.335993	
60000	-61.211139	301	1	1	'0 Z 0 0 0 0 0 0 	D	0.262658	0.000000	0.262658	0.262658	0.262658	0.262658	0.262658	0.262658	0.261101	0.249066	0.248582	0.241251	3.227591	
61000	-61.041042	924	1	2	'0 Z 0 0 0 0 Z 0 	D	0.126512	0.000000	0.126512	0.126512	0.126512	0.126512	0.000000	0.126512	0.434297	0.260933	0.223708	0.081062	1.057786	
62000	-63.368786	186	1	1	'0 Z 0 0 0 0 0 0 	D	12.897543	0.000000	12.897543	12.897543	12.897543	12.897543	12.897543	12.897543	0.250000	0.250000	0.250000	0.250000	11.912143	
63000	-63.368786	882	1	1	'0 Z 0 0 0 0 0 0 	D	46.992917	0.000000	46.992917	46.992917	46.992917	46.992917	46.992917	46.992917	0.250000	0.250000	0.250000	0.250000	26.270262	
64000	-63.368786	52	1	1	'0 Z 0 0 0 0 0 0 	D	37.999180	0.000000	37.999180	37.999180	37.999180	37.999180	37.999180	37.999180	0.250000	0.250000	0.250000	0.250000	44.447546	
65000	-63.368786	977	1	1	'0 Z 0 0 0 0 0 0 	D	6.602765	0.000000	6.602765	6.602765	6.602765	6.602765	6.602765	6.602765	0.250000	0.250000	0.250000	0.250000	55.032110	
66000	-63.368786	745	1	1	'0 Z 0 0 0 0 0 0 	D	49.885918	0.000000	49.885918	49.885918	49.885918	49.885918	49.885918	49.885918	0.250000	0.250000	0.250000	0.250000	43.634568	
67000	-63.368786	480	1	1	'0 Z 0 0 0 0 0 0 	D	24.380460	0.000000	24.380460	24.380460	24.380460	24.380460	24.380460	24.380460	0.250000	0.250000	0.250000	0.250000	30.384759	
68000	-63.368856	426	1	1	'0 Z 0 0 0 0 0 0 	D	3.721668	0.000000	3.721668	3.721668	3.721668	3.721668	3.721668	3.721668	0.250000	0.250000	0.250000	0.250000	29.171713	
69000	-63.368786	834	1	1	'0 Z 0 0 0 0 0 0 	D	33.429320	0.000000	33.429320	33.429320	33.429320	33.429320	33.429320	33.429320	0.250000	0.250000	0.250000	0.250000	31.814201	
70000	-60.287811	790	1	1	'0 Z 0 0 0 0 0 0 	D	0.257848	0.000000	0.257848	0.257848	0.257848	0.257848	0.257848	0.257848	0.271550	0.249452	0.245941	0.233057	31.087857	
71000	-63.368786	472	1	1	'0 Z 0 0 0 0 0 0 	D	4.461787	0.000000	4.461787	4.461787	4.461787	4.461787	4.461787	4.461787	0.250000	0.250000	0.250000	0.250000	21.119977	
72000	-63.743574	483	1	1	'0 Z 0 0 0 0 0 0 	D	10.799303	0.000000	10.799303	10.799303	10.799303	10.799303	10.799303	10.799303	0.250000	0.250000	0.250000	0.250000	34.788728	
73000	-63.368786	21	1	1	'0 Z 0 0 0 0 0 0 	D	27.760880	0.000000	27.760880	27.760880	27.760880	27.760880	27.760880	27.760880	0.250000	0.250000	0.250000	0.250000	45.015068	
74000	-63.545684	648	1	1	'0 Z 0 0 0 0 0 0 	D	3.303377	0.000000	3.303377	3.303377	3.303377	3.303377	3.303377	3.303377	0.250000	0.250000	0.250000	0.250000	36.971332	
75000	-63.368786	688	1	1	'0 Z 0 0 0 0 0 0 	D	27.712182	0.000000	27.712182	27.712182	27.712182	27.712182	27.712182	27.712182	0.250000	0.250000	0.250000	0.250000	56.450920	
76000	-59.660635	358	2	1	'1 Z 1 0 1 0 1 1 	D	100.000000	0.000000	100.000000	27.075124	100.000000	27.075124	100.000000	100.000000	0.250000	0.250000	0.250000	0.250000	65.284764	
77000	-63.368786	69	1	1	'0 Z 0 0 0 0 0 0 	D	21.258330	0.000000	21.258330	21.258330	21.258330	21.258330	21.258330	21.258330	0.250000	0.250000	0.250000	0.250000	77.595429	
78000	-62.003720	957	1	2	'0 Z 0 0 Z 0 0 0 	D	0.278826	0.000000	0.278826	0.278826	0.000000	0.278826	0.278826	0.278826	0.372530	0.300473	0.128162	0.198834	87.741161	
79000	-63.368786	307	1	1	'0 Z 0 0 0 0 0 0 	D	58.569264	0.000000	58.569264	58.569264	58.569264	58.569264	58.569264	58.569264	0.250000	0.250000	0.250000	0.250000	85.260642	
80000	-63.373360	980	1	1	'0 Z 0 0 0 0 0 0 	D	1.423483	0.000000	1.423483	1.423483	1.423483	1.423483	1.423483	1.423483	0.250000	0.250000	0.250000	0.250000	96.677562	
81000	-63.368786	662	1	1	'0 Z 0 0 0 0 0 0 	D	90.191620	0.000000	90.191620	90.191620	90.191620	90.191620	90.191620	90.191620	0.250000	0.250000	0.250000	0.250000	72.117670	
82000	-60.324383	609	2	1	'1 Z 1 0 1 0 1 1 	D	40.071791	0.000000	40.071791	8.207258	40.071791	8.207258	40.071791	40.071791	0.250000	0.250000	0.250000	0.250000	69.070343	
83000	-63.368786	716	1	1	'0 Z 0 0 0 0 0 0 	D	42.564958	0.000000	42.564958	42.564958	42.564958	42.564958	42.564958	42.564958	0.250000	0.250000	0.250000	0.250000	41.966639	
84000	-63.383789	407	1	1	'0 Z 0 0 0 0 0 0 	D	21.673730	0.000000	21.673730	21.673730	21.673730	21.673730	21.673730	21.673730	0.250000	0.250000	0.250000	0.250000	48.614416	
85000	-63.368786	80	1	1	'0 Z 0 0 0 0 0 0 	D	15.110793	0.000000	15.110793	15.110793	15.110793	15.110793	15.110793	15.110793	0.250000	0.250000	0.250000	0.250000	41.458735	
86000	-63.368785	189	1	1	'0 Z 0 0 0 0 0 0 	D	4.338515	0.000000	4.338515	4.338515	4.338515	4.338515	4.338515	4.338515	0.250000	0.250000	0.250000	0.250000	41.387223	
87000	-61.822061	174	1	1	'0 Z 0 0 0 0 0 0 	D	0.361884	0.000000	0.361884	0.361884	0.361884	0.361884	0.361884	0.361884	0.251277	0.249873	0.249856	0.248994	31.796642	
88000	-63.368786	220	1	1	'0 Z 0 0 0 0 0 0 	D	9.077766	0.000000	9.077766	9.077766	9.077766	9.077766	9.077766	9.077766	0.250000	0.250000	0.250000	0.250000	45.014597	
89000	-59.480478	46	2	2	'1 Z 1 0 0 Z 1 0 	D	100.000000	0.000000	100.000000	23.707635	23.707635	0.000000	100.000000	23.707635	0.250000	0.250000	0.250000	0.250000	44.054107	
90000	-63.368786	437	1	1	'0 Z 0 0 0 0 0 0 	D	15.733983	0.000000	15.733983	15.733983	15.733983	15.733983	15.733983	15.733983	0.250000	0.250000	0.250000	0.250000	46.750844	
91000	-63.368786	428	1	1	'0 Z 0 0 0 0 0 0 	D	93.059759	0.000000	93.059759	93.059759	93.059759	93.059759	93.059759	93.059759	0.250000	0.250000	0.250000	0.250000	48.518195	
92000	-63.368786	181	1	1	'0 Z 0 0 0 0 0 0 	D	28.423504	0.000000	28.423504	28.423504	28.423504	28.423504	28.423504	28.423504	0.250000	0.250000	0.250000	0.250000	44.527016	
93000	-63.733520	784	1	1	'0 Z 0 0 0 0 0 0 	D	2.937216	0.000000	2.937216	2.937216	2.937216	2.937216	2.937216	2.937216	0.250000	0.250000	0.250000	0.250000	59.791399	
94000	-61.086263	523	1	2	'0 Z 0 0 Z 0 0 0 	D	0.269058	0.000000	0.269058	0.269058	0.000000	0.269058	0.269058	0.269058	0.343515	0.289846	0.155050	0.211589	66.649417	
95000	-63.368786	994	1	1	'0 Z 0 0 0 0 0 0 	D	9.308898	0.000000	9.308898	9.308898	9.308898	9.308898	9.308898	9.308898	0.250000	0.250000	0.250000	0.250000	62.370766	
96000	-63.368786	879	1	1	'0 Z 0 0 0 0 0 0 	D	36.156225	0.000000	36.156225	36.156225	36.156225	36.156225	36.156225	36.156225	0.250000	0.250000	0.250000	0.250000	63.372982	
97000	-63.374474	544	1	1	'0 Z 0 0 0 0 0 0 	D	6.103068	0.000000	6.103068	6.103068	6.103068	6.103068	6.103068	6.103068	0.250000	0.250000	0.250000	0.250000	42.879654	
98000	-63.368798	285	1	1	'0 Z 0 0 0 0 0 0 	D	15.168076	0.000000	15.168076	15.168076	15.168076	15.168076	15.168076	15.168076	0.250000	0.250000	0.250000	0.250000	26.694081	
99000	-63.368786	529	1	1	'0 Z 0 0 0 0 0 0 	D	27.776794	0.000000	27.776794	27.776794	27.776794	27.776794	27.776794	27.776794	0.250000	0.250000	0.250000	0.250000	32.725601	
100000	-63.368786	283	1	1	'0 Z 0 0 0 0 0 0 	D	5.976936	0.000000	5.976936	5.976936	5.976936	5.976936	5.976936	5.976936	0.250000	0.250000	0.250000	0.250000	16.970501	
101000	-61.185019	405	1	2	'0 Z 0 0 Z 0 0 0 	D	0.327180	0.000000	0.327180	0.327180	0.000000	0.327180	0.327180	0.327180	0.309483	0.275668	0.189086	0.225763	0.835276	
102000	-63.364393	457	1	1	'0 Z 0 0 0 0 0 0 	D	1.314993	0.000000	1.314993	1.314993	1.314993	1.314993	1.314993	1.314993	0.250000	0.250000	0.250000	0.250000	5.035423	
103000	-60.172128	616	2	1	'1 Z 1 0 1 1 0 1 	D	2.722184	0.000000	2.722184	0.283391	2.722184	2.722184	0.283391	2.722184	0.250000	0.250000	0.250000	0.250000	2.414121	
104000	-60.667113	41	2	2	'1 0 1 Z Z 1 1 0 	D	19.394460	1.964108	19.394460	0.000000	0.000000	19.394460	19.394460	1.964108	0.250000	0.250000	0.250000	0.250000	22.122422	
105000	-59.808321	645	2	2	'1 1 1 Z 0 0 Z 0 	D	8.638770	8.638770	8.638770	0.000000	38.835438	38.835438	0.000000	38.835438	0.250000	0.250000	0.250000	0.250000	36.308413	
106000	-59.723510	953	2	1	'1 0 1 Z 1 1 0 1 	D	50.736552	12.573360	50.736552	0.000000	50.736552	50.736552	12.573360	50.736552	0.250000	0.250000	0.250000	0.250000	40.255447	
107000	-61.721394	447	2	1	'0 1 0 Z 0 1 1 1 	D	13.041091	7.194010	13.041091	0.000000	13.041091	7.194010	7.194010	7.194010	0.250000	0.250000	0.250000	0.250000	53.058745	
108000	-64.807196	564	1	1	'0 0 0 Z 0 0 0 0 	D	43.044949	43.044949	43.044949	0.000000	43.044949	43.044949	43.044949	43.044949	0.250000	0.250000	0.250000	0.250000	59.655025	
109000	-63.368786	305	1	1	'0 Z 0 0 0 0 0 0 	D	10.877650	0.000000	10.877650	10.877650	10.877650	10.877650	10.877650	10.877650	0.250000	0.250000	0.250000	0.250000	64.399213	
110000	-63.368786	273	1	1	'0 Z 0 0 0 0 0 0 	D	5.620932	0.000000	5.620932	5.620932	5.620932	5.620932	5.620932	5.620932	0.250000	0.250000	0.250000	0.250000	93.935950	
111000	-63.368786	392	1	1	'0 Z 0 0 0 0 0 0 	D	20.043631	0.000000	20.043631	20.043631	20.043631	20.043631	20.043631	20.043631	0.250000	0.250000	0.250000	0.250000	89.878120	
112000	-63.368786	731	1	1	'0 Z 0 0 0 0 0 0 	D	69.233950	0.000000	69.233950	69.233950	69.233950	69.233950	69.233950	69.233950	0.250000	0.250000	0.250000	0.250000	74.984035	
113000	-63.368786	368	1	1	'0 Z 0 0 0 0 0 0 	D	55.122700	0.000000	55.122700	55.122700	55.122700	55.122700	55.122700	55.122700	0.250000	0.250000	0.250000	0.250000	81.190470	
114000	-63.368786	899	1	1	'0 Z 0 0 0 0 0 0 	D	20.599403	0.000000	20.599403	20.599403	20.599403	20.599403	20.599403	20.599403	0.250000	0.250000	0.250000	0.250000	81.286836	
115000	-63.385522	317	1	1	'0 Z 0 0 0 0 0 0 	D	24.120525	0.000000	24.120525	24.120525	24.120525	24.120525	24.120525	24.120525	0.250000	0.250000	0.250000	0.250000	69.258330	
116000	-63.369558	465	1	1	'0 Z 0 0 0 0 0 0 	D	88.334638	0.000000	88.334638	88.334638	88.334638	88.334638	88.334638	88.334638	0.250000	0.250000	0.250000	0.250000	49.369541	
117000	-63.368786	115	1	1	'0 Z 0 0 0 0 0 0 	D	53.408673	0.000000	53.408673	53.408673	53.408673	53.408673	53.408673	53.408673	0.250000	0.250000	0.250000	0.250000	52.313968	
118000	-63.368786	603	1	1	'0 Z 0 0 0 0 0 0 	D	51.226182	0.000000	51.226182	51.226182	51.226182	51.226182	51.226182	51.226182	0.250000	0.250000	0.250000	0.250000	57.950408	
119000	-63.368793	792	1	1	'0 Z 0 0 0 0 0 0 	D	15.607829	0.000000	15.607829	15.607829	15.607829	15.607829	15.607829	15.607829	0.250000	0.250000	0.250000	0.250000	53.072595	
120000	-63.368786	33	1	1	'0 Z 0 0 0 0 0 0 	D	30.942478	0.000000	30.942478	30.942478	30.942478	30.942478	30.942478	30.942478	0.250000	0.250000	0.250000	0.250000	47.071217	
121000	-60.441237	3	2	1	'0 Z 0 1 1 1 0 0 	D	44.218170	0.000000	44.218170	9.395176	9.395176	9.395176	44.218170	44.218170	0.250000	0.250000	0.250000	0.250000	34.930906	
122000	-61.103829	820	1	2	'0 Z 0 0 0 0 Z 0 	D	0.135738	0.000000	0.135738	0.135738	0.135738	0.135738	0.000000	0.135738	0.416529	0.271403	0.225457	0.086610	1.900859	
123000	-63.368786	65	1	1	'0 Z 0 0 0 0 0 0 	D	4.309667	0.000000	4.309667	4.309667	4.309667	4.309667	4.309667	4.309667	0.250000	0.250000	0.250000	0.250000	12.901382	
124000	-63.368786	350	1	1	'0 Z 0 0 0 0 0 0 	D	7.083814	0.000000	7.083814	7.083814	7.083814	7.083814	7.083814	7.083814	0.250000	0.250000	0.250000	0.250000	13.026152	
125000	-63.368786	617	1	1	'0 Z 0 0 0 0 0 0 	D	5.785424	0.000000	5.785424	5.785424	5.785424	5.785424	5.785424	5.785424	0.250000	0.250000	0.250000	0.250000	14.264822	
126000	-63.368804	217	1	1	'0 Z 0 0 0 0 0 0 	D	14.528932	0.000000	14.528932	14.528932	14.528932	14.528932	14.528932	14.528932	0.250000	0.250000	0.250000	0.250000	21.054307	
127000	-63.371571	721	1	1	'0 Z 0 0 0 0 0 0 	D	1.421108	0.000000	1.421108	1.421108	1.421108	1.421108	1.421108	1.421108	0.250000	0.250000	0.250000	0.250000	7.402890	
128000	-63.368786	34	1	1	'0 Z 0 0 0 0 0 0 	D	16.108244	0.000000	16.108244	16.108244	16.108244	16.108244	16.108244	16.108244	0.250000	0.250000	0.250000	0.250000	13.467732	
129000	-63.368786	735	1	1	'0 Z 0 0 0 0 0 0 	D	28.490891	0.000000	28.490891	28.490891	28.490891	28.490891	28.490891	28.490891	0.250000	0.250000	0.250000	0.250000	20.078502	
130000	-63.368786	345	1	1	'0 Z 0 0 0 0 0 0 	D	17.245038	0.000000	17.245038	17.245038	17.245038	17.245038	17.245038	17.245038	0.250000	0.250000	0.250000	0.250000	18.308592	
131000	-62.549056	339	1	1	'0 Z 0 0 0 0 0 0 	D	0.334024	0.000000	0.334024	0.334024	0.334024	0.334024	0.334024	0.334024	0.254400	0.249581	0.249493	0.246526	11.102800	
132000	-60.549173	64	1	1	'0 Z 0 0 0 0 0 0 	D	0.388024	0.000000	0.388024	0.388024	0.388024	0.388024	0.388024	0.388024	0.255298	0.249554	0.249315	0.245833	2.814907	
133000	-60.064461	833	1	1	'0 Z 0 0 0 0 0 0 	D	0.236273	0.000000	0.236273	0.236273	0.236273	0.236273	0.236273	0.236273	0.259198	0.249437	0.248634	0.242731	4.196552	
134000	-63.368796	892	1	1	'0 Z 0 0 0 0 0 0 	D	2.396637	0.000000	2.396637	2.396637	2.396637	2.396637	2.396637	2.396637	0.250000	0.250000	0.250000	0.250000	4.079925	
