Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LA1=0_Wax1=0.txt
Log File Name:                   LA1=0_Wax1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3576320276
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LA1=0_Wax1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-45.722240	815	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.177373	0.177373	0.177373	0.177373	0.177373	0.177373	0.177373	0.274929	0.261543	0.244490	0.219039	1.746596	
12000	-43.803657	514	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.113865	0.113865	0.113865	0.113865	0.113865	0.113865	0.000000	0.171134	0.374419	0.258732	0.195715	0.331379	
13000	-45.565297	339	2	1	'Z 1 0 1 1 0 1 0 	D	0.000000	0.153235	0.111211	0.153235	0.153235	0.111211	0.153235	0.111211	0.230788	0.272931	0.242906	0.253376	0.194168	
14000	-44.016661	85	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.121720	0.121720	0.121720	0.121720	0.121720	0.121720	0.000000	0.239020	0.283435	0.256611	0.220934	7.350603	
15000	-46.845546	915	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	0.039891	0.000000	0.000000	0.039891	0.039891	0.039891	0.000000	0.143663	0.000000	0.856337	0.000000	2.377519	
16000	-45.357534	342	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.117824	0.117824	0.117824	0.117824	0.117824	0.117824	0.000000	0.271259	0.285679	0.264597	0.178465	5.585372	
17000	-47.372915	531	1	1	'0 0 0 0 0 0 0 Z 	D	0.057472	0.057472	0.057472	0.057472	0.057472	0.057472	0.057472	0.000000	0.392380	0.251537	0.256328	0.099755	2.976881	
18000	-44.953386	731	1	2	'0 0 0 0 0 0 Z Z 	D	0.039022	0.039022	0.039022	0.039022	0.039022	0.039022	0.000000	0.000000	0.434766	0.343332	0.221902	0.000000	0.626834	
19000	-49.438325	430	1	3	'0 0 Z 0 Z Z 0 0 	D	0.055101	0.055101	0.000000	0.055101	0.000000	0.000000	0.055101	0.055101	1.000000	0.000000	0.000000	0.000000	0.150838	
20000	-45.444084	786	1	2	'0 0 0 0 0 Z 0 Z 	D	0.043959	0.043959	0.043959	0.043959	0.043959	0.000000	0.043959	0.000000	0.308410	0.465455	0.021149	0.204987	1.769738	
21000	-45.882696	874	1	1	'0 0 Z 0 0 0 0 0 	D	0.040691	0.040691	0.000000	0.040691	0.040691	0.040691	0.040691	0.040691	0.510975	0.022662	0.307668	0.158695	22.325090	
22000	-45.231937	930	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.169488	0.169488	0.169488	0.169488	0.169488	0.169488	0.000000	0.287766	0.266505	0.260204	0.185524	9.548215	
23000	-44.715569	489	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.116460	0.116460	0.116460	0.116460	0.116460	0.116460	0.000000	0.291413	0.272928	0.261525	0.174134	0.416429	
24000	-44.944987	708	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.096334	0.000000	0.096334	0.096334	0.096334	0.096334	0.096334	0.312375	0.103334	0.348753	0.235538	6.466826	
25000	-45.126968	750	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.157282	0.000000	0.157282	0.157282	0.157282	0.157282	0.157282	0.360581	0.101204	0.329181	0.209034	1.285234	
26000	-43.959878	894	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.134577	0.000000	0.134577	0.134577	0.134577	0.134577	0.134577	0.223417	0.125608	0.354972	0.296003	0.945991	
27000	-44.108153	795	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	0.120149	0.000000	0.000000	0.120149	0.120149	0.120149	0.000000	0.509209	0.000000	0.490791	0.000000	0.953787	
28000	-45.337862	616	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	0.115624	0.000000	0.000000	0.115624	0.115624	0.115624	0.115624	0.477922	0.000000	0.380066	0.142012	6.070310	
29000	-43.674775	412	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.080575	0.080575	0.080575	0.080575	0.080575	0.080575	0.080575	0.200795	0.325831	0.244996	0.228379	7.567724	
30000	-46.139901	876	1	1	'0 0 0 0 0 Z 0 0 	D	0.051441	0.051441	0.051441	0.051441	0.051441	0.000000	0.051441	0.051441	0.350263	0.431788	0.032102	0.185847	1.432551	
31000	-44.994870	591	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	0.096451	0.000000	0.000000	0.096451	0.096451	0.096451	0.096451	0.382073	0.000000	0.427833	0.190093	0.637382	
32000	-44.729263	12	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.113327	0.000000	0.113327	0.113327	0.113327	0.113327	0.113327	0.335136	0.119652	0.322566	0.222646	4.130126	
33000	-44.114258	392	2	2	'Z 0 Z 1 1 0 0 1 	D	0.000000	0.163740	0.000000	0.329301	0.329301	0.163740	0.163740	0.329301	0.209153	0.282153	0.236312	0.272382	1.670398	
34000	-43.982332	27	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.076531	0.076531	0.076531	0.076531	0.076531	0.076531	0.076531	0.168964	0.301502	0.236702	0.292832	3.510387	
35000	-44.169084	646	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	0.081673	0.000000	0.000000	0.081673	0.081673	0.081673	0.000000	0.401776	0.000000	0.598224	0.000000	4.519762	
36000	-44.254980	506	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.137624	0.137624	0.137624	0.137624	0.137624	0.137624	0.137624	0.247258	0.260536	0.246778	0.245428	21.083248	
37000	-43.841205	474	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.121418	0.000000	0.121418	0.121418	0.121418	0.121418	0.121418	0.306830	0.092974	0.358273	0.241923	28.754652	
38000	-43.902385	369	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.098702	0.098702	0.098702	0.098702	0.098702	0.098702	0.098702	0.193427	0.306453	0.239703	0.260417	22.781964	
39000	-46.477403	281	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	0.140728	0.000000	0.000000	0.140728	0.140728	0.140728	0.000000	0.614363	0.000000	0.385637	0.000000	25.569188	
40000	-44.361570	125	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	0.107330	0.000000	0.000000	0.107330	0.107330	0.107330	0.107330	0.491429	0.000000	0.377872	0.130699	16.032971	
41000	-44.805647	693	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.062638	0.000000	0.062638	0.062638	0.062638	0.062638	0.062638	0.194215	0.087698	0.405851	0.312236	0.502202	
42000	-44.163782	300	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.074278	0.074278	0.074278	0.074278	0.074278	0.074278	0.000000	0.152411	0.380513	0.240306	0.226770	0.885060	
43000	-46.088467	728	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	0.086581	0.000000	0.000000	0.086581	0.086581	0.086581	0.086581	0.340258	0.000000	0.442790	0.216952	2.382176	
44000	-44.129393	38	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.074556	0.000000	0.074556	0.074556	0.074556	0.074556	0.074556	0.211770	0.061847	0.430619	0.295764	0.666840	
45000	-43.725344	327	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.072961	0.072961	0.072961	0.072961	0.072961	0.072961	0.072961	0.199307	0.326897	0.244553	0.229243	15.482378	
46000	-43.976239	549	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.072037	0.072037	0.072037	0.072037	0.072037	0.072037	0.000000	0.125739	0.419824	0.253935	0.200503	26.399218	
47000	-45.886376	97	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.125437	0.125437	0.125437	0.125437	0.125437	0.125437	0.000000	0.284166	0.264584	0.252763	0.198487	21.089976	
48000	-46.877839	578	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.107136	0.107136	0.107136	0.107136	0.107136	0.107136	0.000000	0.193318	0.328410	0.238318	0.239954	1.309004	
49000	-45.096207	750	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.072503	0.000000	0.072503	0.072503	0.072503	0.072503	0.072503	0.178409	0.081127	0.420986	0.319478	0.288584	
50000	-46.953558	86	1	1	'0 0 0 Z 0 0 0 0 	D	0.055343	0.055343	0.055343	0.000000	0.055343	0.055343	0.055343	0.055343	0.354215	0.047248	0.370417	0.228119	0.343436	
51000	-47.376069	389	1	4	'0 0 Z 0 0 Z Z Z 	D	0.045244	0.045244	0.000000	0.045244	0.045244	0.000000	0.000000	0.000000	0.938821	0.000000	0.061179	0.000000	2.627092	
52000	-46.585518	559	1	4	'0 0 Z 0 0 Z Z Z 	D	0.063863	0.063863	0.000000	0.063863	0.063863	0.000000	0.000000	0.000000	0.865450	0.000000	0.134550	0.000000	1.940768	
53000	-44.889872	642	1	2	'0 0 0 0 0 0 Z Z 	D	0.037033	0.037033	0.037033	0.037033	0.037033	0.037033	0.000000	0.000000	0.450326	0.343327	0.206346	0.000000	0.401216	
54000	-49.850070	947	1	1	'0 0 0 0 0 0 Z 0 	D	0.103255	0.103255	0.103255	0.103255	0.103255	0.103255	0.000000	0.103255	0.410019	0.265392	0.237694	0.086896	2.002990	
55000	-44.908762	824	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.078284	0.078284	0.078284	0.078284	0.078284	0.078284	0.000000	0.147827	0.369753	0.222370	0.260050	4.795845	
