Options:
Model:                           Discrete: Independent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_LA1=2.txt
Log File Name:                   LL1=2_LA1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4012526327
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_LA1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-70.517100	893	2	0	'0 1 0 0 	27.411308	48.369261	27.411308	27.411308	0.250000	0.250000	0.250000	0.250000	99.288122	
12000	-74.859896	392	1	0	'0 0 0 0 	23.993072	23.993072	23.993072	23.993072	0.250000	0.250000	0.250000	0.250000	96.666839	
13000	-74.859896	672	1	0	'0 0 0 0 	49.428038	49.428038	49.428038	49.428038	0.250000	0.250000	0.250000	0.250000	93.666310	
14000	-71.257930	424	2	0	'0 1 0 1 	37.897120	63.168351	37.897120	63.168351	0.250000	0.250000	0.250000	0.250000	86.181564	
15000	-69.743128	475	1	0	'0 0 0 0 	0.160889	0.160889	0.160889	0.160889	0.265222	0.259934	0.239813	0.235031	97.540997	
16000	-74.859896	314	1	0	'0 0 0 0 	23.636197	23.636197	23.636197	23.636197	0.250000	0.250000	0.250000	0.250000	94.113814	
17000	-74.859896	731	1	0	'0 0 0 0 	10.055147	10.055147	10.055147	10.055147	0.250000	0.250000	0.250000	0.250000	98.402969	
18000	-74.859896	240	1	0	'0 0 0 0 	7.719566	7.719566	7.719566	7.719566	0.250000	0.250000	0.250000	0.250000	89.980359	
19000	-70.393575	716	2	0	'1 0 0 0 	9.602434	17.522250	17.522250	17.522250	0.250000	0.250000	0.250000	0.250000	97.257189	
20000	-73.581193	10	2	0	'0 1 1 0 	78.512744	96.680962	96.680962	78.512744	0.250000	0.250000	0.250000	0.250000	86.220602	
