Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=0_Wax1=2.txt
Log File Name:                   LL1=0_Wax1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3341436901
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=0_Wax1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-54.639871	81	1	3	'0 0 Z 0 Z 0 0 Z 	D	0.061865	0.061865	0.000000	0.061865	0.000000	0.061865	0.061865	0.000000	1.000000	0.000000	0.000000	0.000000	54.669750	
12000	-48.593324	95	1	1	'0 0 0 0 0 0 0 Z 	D	0.033375	0.033375	0.033375	0.033375	0.033375	0.033375	0.033375	0.000000	0.410307	0.344492	0.143689	0.101511	50.792208	
13000	-52.300075	297	1	2	'0 0 Z 0 0 Z 0 0 	D	0.073877	0.073877	0.000000	0.073877	0.073877	0.000000	0.073877	0.073877	0.757791	0.022425	0.104690	0.115094	57.088925	
14000	-51.367363	733	1	1	'0 0 0 0 0 Z 0 0 	D	0.088985	0.088985	0.088985	0.088985	0.088985	0.000000	0.088985	0.088985	0.370829	0.414050	0.050154	0.164967	80.999430	
15000	-51.293144	705	1	2	'0 0 0 Z 0 0 Z 0 	D	0.023397	0.023397	0.023397	0.000000	0.023397	0.023397	0.000000	0.023397	0.512860	0.029360	0.374609	0.083171	63.725773	
16000	-49.382322	594	1	1	'0 0 0 0 0 0 Z 0 	D	0.079198	0.079198	0.079198	0.079198	0.079198	0.079198	0.000000	0.079198	0.426284	0.312633	0.200544	0.060539	42.055412	
17000	-50.014980	705	1	2	'0 0 0 Z Z 0 0 0 	D	0.042571	0.042571	0.042571	0.000000	0.000000	0.042571	0.042571	0.042571	0.633722	0.097797	0.024748	0.243733	32.512731	
18000	-49.079974	344	1	3	'0 0 Z Z 0 0 Z 0 	D	0.055574	0.055574	0.000000	0.000000	0.055574	0.055574	0.000000	0.055574	0.387736	0.000000	0.437305	0.174959	13.740005	
19000	-49.438683	323	1	1	'0 0 0 Z 0 0 0 0 	D	0.040127	0.040127	0.040127	0.000000	0.040127	0.040127	0.040127	0.040127	0.473437	0.061104	0.283513	0.181945	18.080472	
20000	-50.436941	694	1	1	'0 0 0 0 0 Z 0 0 	D	0.033814	0.033814	0.033814	0.033814	0.033814	0.000000	0.033814	0.033814	0.357913	0.531518	0.005521	0.105048	62.167541	
21000	-51.152030	57	1	3	'0 0 0 Z 0 0 Z Z 	D	0.075709	0.075709	0.075709	0.000000	0.075709	0.075709	0.000000	0.000000	0.542545	0.108793	0.348662	0.000000	61.628581	
22000	-50.973349	856	1	1	'0 0 Z 0 0 0 0 0 	D	0.040652	0.040652	0.000000	0.040652	0.040652	0.040652	0.040652	0.040652	0.832068	0.000931	0.143585	0.023416	45.029778	
23000	-48.510496	812	1	3	'0 0 0 Z 0 0 Z Z 	D	0.052997	0.052997	0.052997	0.000000	0.052997	0.052997	0.000000	0.000000	0.494787	0.101040	0.404173	0.000000	20.966301	
24000	-52.037883	541	1	2	'0 0 0 0 0 Z 0 Z 	D	0.072675	0.072675	0.072675	0.072675	0.072675	0.000000	0.072675	0.000000	0.359244	0.426182	0.042157	0.172417	9.986170	
25000	-49.523827	920	1	3	'0 0 0 0 0 Z Z Z 	D	0.045212	0.045212	0.045212	0.045212	0.045212	0.000000	0.000000	0.000000	0.365983	0.622999	0.011019	0.000000	17.178261	
26000	-50.807515	439	1	1	'0 0 0 Z 0 0 0 0 	D	0.033454	0.033454	0.033454	0.000000	0.033454	0.033454	0.033454	0.033454	0.543859	0.031142	0.273813	0.151186	17.303157	
27000	-49.580753	21	1	4	'0 0 Z 0 0 Z Z Z 	D	0.055120	0.055120	0.000000	0.055120	0.055120	0.000000	0.000000	0.000000	0.936268	0.000000	0.063732	0.000000	15.383160	
28000	-49.760159	817	1	2	'0 0 0 Z 0 0 Z 0 	D	0.053041	0.053041	0.053041	0.000000	0.053041	0.053041	0.000000	0.053041	0.491342	0.053915	0.361362	0.093381	3.026193	
29000	-50.848842	713	1	2	'0 0 0 Z 0 0 Z 0 	D	0.039135	0.039135	0.039135	0.000000	0.039135	0.039135	0.000000	0.039135	0.668409	0.051456	0.250036	0.030099	0.743722	
30000	-50.665480	598	1	1	'0 0 0 Z 0 0 0 0 	D	0.048841	0.048841	0.048841	0.000000	0.048841	0.048841	0.048841	0.048841	0.487550	0.046801	0.295277	0.170372	16.328248	
31000	-50.653530	597	1	3	'0 0 0 Z 0 0 Z Z 	D	0.044328	0.044328	0.044328	0.000000	0.044328	0.044328	0.000000	0.000000	0.698091	0.050205	0.251704	0.000000	24.067669	
32000	-51.828619	284	1	1	'0 0 0 0 0 0 0 Z 	D	0.071299	0.071299	0.071299	0.071299	0.071299	0.071299	0.071299	0.000000	0.417265	0.267840	0.213252	0.101643	13.557992	
33000	-50.248657	409	1	4	'0 0 Z 0 0 Z Z Z 	D	0.088155	0.088155	0.000000	0.088155	0.088155	0.000000	0.000000	0.000000	0.858697	0.000000	0.141303	0.000000	25.481532	
34000	-50.106924	323	1	2	'0 0 0 0 0 0 Z Z 	D	0.049762	0.049762	0.049762	0.049762	0.049762	0.049762	0.000000	0.000000	0.499179	0.325138	0.175683	0.000000	23.446934	
35000	-49.592819	223	1	3	'0 0 0 Z 0 0 Z Z 	D	0.040598	0.040598	0.040598	0.000000	0.040598	0.040598	0.000000	0.000000	0.590963	0.062350	0.346687	0.000000	19.614533	
36000	-48.119892	621	1	1	'0 0 Z 0 0 0 0 0 	D	0.036567	0.036567	0.000000	0.036567	0.036567	0.036567	0.036567	0.036567	0.741858	0.002761	0.212186	0.043196	8.824492	
37000	-51.038591	872	1	3	'0 0 Z Z 0 0 Z 0 	D	0.106115	0.106115	0.000000	0.000000	0.106115	0.106115	0.000000	0.106115	0.364359	0.000000	0.435848	0.199793	7.300152	
38000	-50.734905	354	1	4	'0 0 Z 0 0 Z Z Z 	D	0.061251	0.061251	0.000000	0.061251	0.061251	0.000000	0.000000	0.000000	0.902907	0.000000	0.097093	0.000000	1.604213	
39000	-50.391093	409	1	2	'0 0 Z 0 0 Z 0 0 	D	0.039473	0.039473	0.000000	0.039473	0.039473	0.000000	0.039473	0.039473	0.847359	0.006313	0.026600	0.119728	10.747739	
40000	-53.503702	448	1	2	'0 0 0 0 Z Z 0 0 	D	0.099315	0.099315	0.099315	0.099315	0.000000	0.000000	0.099315	0.099315	0.266202	0.510561	0.000000	0.223236	0.407699	
41000	-50.977420	936	1	2	'0 0 Z 0 0 Z 0 0 	D	0.057281	0.057281	0.000000	0.057281	0.057281	0.000000	0.057281	0.057281	0.675848	0.030626	0.113790	0.179736	8.948619	
42000	-50.554372	441	1	3	'0 0 0 0 0 Z Z Z 	D	0.077511	0.077511	0.077511	0.077511	0.077511	0.000000	0.000000	0.000000	0.417605	0.544806	0.037589	0.000000	1.044172	
43000	-49.232111	68	1	3	'0 0 0 Z 0 0 Z Z 	D	0.038628	0.038628	0.038628	0.000000	0.038628	0.038628	0.000000	0.000000	0.570501	0.035192	0.394307	0.000000	2.812812	
44000	-50.243006	189	1	2	'0 0 0 Z 0 0 Z 0 	D	0.075820	0.075820	0.075820	0.000000	0.075820	0.075820	0.000000	0.075820	0.393264	0.122923	0.346220	0.137593	1.117922	
45000	-52.490838	383	1	1	'0 0 0 0 0 0 0 Z 	D	0.070041	0.070041	0.070041	0.070041	0.070041	0.070041	0.070041	0.000000	0.445861	0.257330	0.209199	0.087610	1.659783	
