Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=0_Wax1=0.txt
Log File Name:                   LL1=0_Wax1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            455755352
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=0_Wax1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-40.325602	458	2	2	'0 Z 1 1 Z 1 1 1 	D	2.284657	0.000000	14.297589	14.297589	0.000000	14.297589	14.297589	14.297589	0.250000	0.250000	0.250000	0.250000	65.342510	
12000	-39.804188	102	2	1	'0 Z 1 1 0 1 1 1 	D	15.022391	0.000000	87.503090	87.503090	15.022391	87.503090	87.503090	87.503090	0.250000	0.250000	0.250000	0.250000	56.952702	
13000	-38.262731	210	2	1	'0 Z 1 1 0 0 1 1 	D	6.525363	0.000000	56.105551	56.105551	6.525363	6.525363	56.105551	56.105551	0.250000	0.250000	0.250000	0.250000	30.469604	
14000	-38.662475	425	2	2	'0 Z 1 1 Z 1 1 1 	D	4.545924	0.000000	40.107039	40.107039	0.000000	40.107039	40.107039	40.107039	0.250000	0.250000	0.250000	0.250000	23.160824	
15000	-38.025508	948	2	1	'Z 0 1 0 0 1 1 1 	D	0.000000	1.448289	33.784090	1.448289	1.448289	33.784090	33.784090	33.784090	0.250000	0.250000	0.250000	0.250000	13.039064	
16000	-37.890794	415	2	1	'Z 0 1 0 0 1 1 1 	D	0.000000	8.770068	84.585753	8.770068	8.770068	84.585753	84.585753	84.585753	0.250000	0.250000	0.250000	0.250000	26.061828	
17000	-38.262211	892	2	1	'0 0 1 Z 0 1 1 1 	D	5.012430	5.012430	63.501104	0.000000	5.012430	63.501104	63.501104	63.501104	0.250000	0.250000	0.250000	0.250000	35.286679	
18000	-37.376321	426	2	1	'Z 0 1 0 1 1 1 1 	D	0.000000	9.137689	45.803892	9.137689	45.803892	45.803892	45.803892	45.803892	0.250000	0.250000	0.250000	0.250000	41.627600	
19000	-37.453753	768	2	1	'Z 0 1 0 1 1 1 1 	D	0.000000	6.250614	29.503065	6.250614	29.503065	29.503065	29.503065	29.503065	0.250000	0.250000	0.250000	0.250000	48.421013	
20000	-37.457212	691	2	1	'Z 0 1 0 1 1 1 1 	D	0.000000	5.251177	34.571882	5.251177	34.571882	34.571882	34.571882	34.571882	0.250000	0.250000	0.250000	0.250000	56.109768	
21000	-39.372279	388	2	1	'Z 0 1 0 1 1 1 0 	D	0.000000	10.835600	39.413925	10.835600	39.413925	39.413925	39.413925	10.835600	0.250000	0.250000	0.250000	0.250000	51.761562	
22000	-38.276969	353	2	1	'Z 0 1 0 1 1 1 1 	D	0.000000	5.538382	20.112266	5.538382	20.112266	20.112266	20.112266	20.112266	0.250000	0.250000	0.250000	0.250000	56.478341	
23000	-37.668920	422	2	1	'Z 0 0 0 1 0 1 0 	D	0.000000	6.418330	6.418330	6.418330	50.778067	6.418330	50.778067	6.418330	0.250000	0.250000	0.250000	0.250000	60.515760	
24000	-37.629196	64	2	1	'Z 0 0 0 1 0 1 0 	D	0.000000	3.519401	3.519401	3.519401	19.265475	3.519401	19.265475	3.519401	0.250000	0.250000	0.250000	0.250000	45.271399	
25000	-38.998241	405	2	3	'Z 0 0 Z 1 0 1 Z 	D	0.000000	7.162222	7.162222	0.000000	67.312268	7.162222	67.312268	0.000000	0.250000	0.250000	0.250000	0.250000	43.143886	
26000	-38.029345	342	2	2	'Z 0 0 0 1 0 1 Z 	D	0.000000	7.658903	7.658903	7.658903	70.424959	7.658903	70.424959	0.000000	0.250000	0.250000	0.250000	0.250000	63.026710	
27000	-38.650993	803	2	1	'Z 0 0 0 1 0 1 0 	D	0.000000	9.234967	9.234967	9.234967	35.588186	9.234967	35.588186	9.234967	0.250000	0.250000	0.250000	0.250000	60.117424	
28000	-37.318515	542	2	1	'Z 0 0 1 1 0 1 0 	D	0.000000	4.918443	4.918443	34.808253	34.808253	4.918443	34.808253	4.918443	0.250000	0.250000	0.250000	0.250000	80.941251	
29000	-38.795212	571	2	1	'Z 0 0 1 1 0 1 0 	D	0.000000	1.307664	1.307664	11.019173	11.019173	1.307664	11.019173	1.307664	0.250000	0.250000	0.250000	0.250000	57.004213	
30000	-38.454577	832	2	2	'Z 0 0 1 1 0 1 Z 	D	0.000000	8.906484	8.906484	89.119104	89.119104	8.906484	89.119104	0.000000	0.250000	0.250000	0.250000	0.250000	46.358669	
31000	-40.842464	122	2	2	'Z 0 Z 1 1 0 1 0 	D	0.000000	16.075170	0.000000	92.109209	92.109209	16.075170	92.109209	16.075170	0.250000	0.250000	0.250000	0.250000	42.956859	
32000	-38.396339	17	2	2	'Z 0 Z 1 1 0 1 0 	D	0.000000	1.367606	0.000000	10.932316	10.932316	1.367606	10.932316	1.367606	0.250357	0.249659	0.250287	0.249697	30.412723	
33000	-38.396551	876	2	2	'Z 0 1 1 1 0 1 Z 	D	0.000000	3.775584	23.584988	23.584988	23.584988	3.775584	23.584988	0.000000	0.250000	0.250000	0.250000	0.250000	10.616034	
34000	-37.641053	389	2	2	'Z 0 Z 1 1 0 1 0 	D	0.000000	0.653572	0.000000	4.172318	4.172318	0.653572	4.172318	0.653572	0.252289	0.247788	0.251805	0.248118	1.637334	
35000	-38.513230	420	2	3	'Z 0 0 Z 1 0 1 Z 	D	0.000000	1.139858	1.139858	0.000000	8.770620	1.139858	8.770620	0.000000	0.250000	0.250000	0.250000	0.250000	9.653866	
36000	-38.051909	806	2	3	'Z 0 0 Z 1 0 1 Z 	D	0.000000	0.270442	0.270442	0.000000	1.991781	0.270442	1.991781	0.000000	0.258213	0.243936	0.256177	0.241674	1.949055	
37000	-38.498492	608	2	1	'Z 0 0 0 1 0 1 0 	D	0.000000	1.278424	1.278424	1.278424	13.613564	1.278424	13.613564	1.278424	0.250000	0.250000	0.250000	0.250000	19.039847	
38000	-38.226154	145	2	2	'Z 0 0 Z 1 0 1 0 	D	0.000000	14.995615	14.995615	0.000000	92.500505	14.995615	92.500505	14.995615	0.250000	0.250000	0.250000	0.250000	44.407744	
39000	-37.476553	757	2	1	'Z 0 0 0 1 0 1 0 	D	0.000000	9.040587	9.040587	9.040587	60.867079	9.040587	60.867079	9.040587	0.250000	0.250000	0.250000	0.250000	48.329990	
40000	-38.223457	143	2	2	'Z 0 0 Z 1 0 1 0 	D	0.000000	15.320238	15.320238	0.000000	93.134601	15.320238	93.134601	15.320238	0.250000	0.250000	0.250000	0.250000	59.516764	
41000	-38.744599	954	2	1	'Z 0 0 0 1 0 1 0 	D	0.000000	16.704343	16.704343	16.704343	64.695900	16.704343	64.695900	16.704343	0.250000	0.250000	0.250000	0.250000	40.703988	
42000	-38.893390	1	2	2	'Z 0 0 Z 1 0 1 0 	D	0.000000	11.102946	11.102946	0.000000	44.672682	11.102946	44.672682	11.102946	0.250000	0.250000	0.250000	0.250000	44.044142	
43000	-37.899228	511	2	2	'Z 0 0 0 1 0 1 Z 	D	0.000000	7.926066	7.926066	7.926066	51.172778	7.926066	51.172778	0.000000	0.250000	0.250000	0.250000	0.250000	62.286642	
44000	-38.209851	365	2	2	'Z 0 0 Z 1 0 0 0 	D	0.000000	7.898691	7.898691	0.000000	100.000000	7.898691	7.898691	7.898691	0.250000	0.250000	0.250000	0.250000	56.002029	
45000	-39.519312	511	2	1	'Z 0 0 0 1 0 0 0 	D	0.000000	24.127203	24.127203	24.127203	100.000000	24.127203	24.127203	24.127203	0.250000	0.250000	0.250000	0.250000	66.522591	
46000	-38.521317	897	2	2	'Z 0 Z 0 1 0 0 0 	D	0.000000	10.753959	0.000000	10.753959	100.000000	10.753959	10.753959	10.753959	0.250000	0.250000	0.250000	0.250000	64.124176	
47000	-38.565611	362	2	1	'Z 0 0 0 1 0 0 0 	D	0.000000	19.546481	19.546481	19.546481	100.000000	19.546481	19.546481	19.546481	0.250000	0.250000	0.250000	0.250000	47.153990	
48000	-38.362835	880	2	2	'Z 0 Z 0 1 0 0 0 	D	0.000000	9.950752	0.000000	9.950752	100.000000	9.950752	9.950752	9.950752	0.250000	0.250000	0.250000	0.250000	75.682084	
49000	-37.231875	267	2	2	'Z 0 0 Z 1 0 0 0 	D	0.000000	13.853579	13.853579	0.000000	100.000000	13.853579	13.853579	13.853579	0.250000	0.250000	0.250000	0.250000	69.063249	
50000	-37.847269	512	2	2	'Z 0 0 Z 1 0 0 0 	D	0.000000	19.739754	19.739754	0.000000	100.000000	19.739754	19.739754	19.739754	0.250000	0.250000	0.250000	0.250000	75.716563	
51000	-38.220603	32	2	2	'Z 0 Z 0 1 0 0 0 	D	0.000000	8.294207	0.000000	8.294207	100.000000	8.294207	8.294207	8.294207	0.250000	0.250000	0.250000	0.250000	63.586612	
52000	-38.628664	371	2	2	'Z 0 Z 0 1 0 0 0 	D	0.000000	9.372035	0.000000	9.372035	100.000000	9.372035	9.372035	9.372035	0.250000	0.250000	0.250000	0.250000	68.028691	
53000	-38.480743	300	2	1	'Z 0 0 0 1 0 0 0 	D	0.000000	19.067514	19.067514	19.067514	100.000000	19.067514	19.067514	19.067514	0.250000	0.250000	0.250000	0.250000	66.851669	
54000	-37.272232	412	2	2	'Z 0 0 Z 1 0 0 0 	D	0.000000	11.945811	11.945811	0.000000	100.000000	11.945811	11.945811	11.945811	0.250000	0.250000	0.250000	0.250000	60.198171	
55000	-38.006222	672	2	1	'Z 0 0 0 1 0 0 0 	D	0.000000	15.663436	15.663436	15.663436	100.000000	15.663436	15.663436	15.663436	0.250000	0.250000	0.250000	0.250000	65.168418	
56000	-37.589046	957	2	1	'0 0 1 1 1 0 Z 1 	D	9.207830	9.207830	79.907813	79.907813	79.907813	9.207830	0.000000	79.907813	0.250000	0.250000	0.250000	0.250000	57.138905	
57000	-37.434145	669	2	1	'0 0 1 1 1 0 Z 1 	D	3.853911	3.853911	36.486872	36.486872	36.486872	3.853911	0.000000	36.486872	0.250000	0.250000	0.250000	0.250000	47.311392	
58000	-36.954914	127	2	0	'0 0 0 1 1 0 1 1 	D	0.028958	0.028958	0.028958	0.508717	0.508717	0.028958	0.508717	0.508717	0.200913	0.322167	0.201841	0.275079	42.550959	
59000	-37.693010	8	2	0	'0 0 0 1 1 0 1 1 	D	4.684124	4.684124	4.684124	78.503766	78.503766	4.684124	78.503766	78.503766	0.250000	0.250000	0.250000	0.250000	44.692642	
60000	-37.850523	72	2	1	'0 0 Z 1 1 0 1 1 	D	1.207297	1.207297	0.000000	30.537807	30.537807	1.207297	30.537807	30.537807	0.250000	0.250000	0.250000	0.250000	38.145610	
61000	-37.092870	705	2	0	'0 0 1 1 1 0 1 1 	D	0.878545	0.878545	8.393689	8.393689	8.393689	0.878545	8.393689	8.393689	0.250000	0.250000	0.250000	0.250000	9.402323	
62000	-39.659636	857	2	0	'0 0 1 1 1 0 1 0 	D	7.376720	7.376720	51.415106	51.415106	51.415106	7.376720	51.415106	7.376720	0.250000	0.250000	0.250000	0.250000	12.997977	
63000	-40.825272	618	2	0	'0 0 1 1 1 0 1 0 	D	4.686623	4.686623	27.373654	27.373654	27.373654	4.686623	27.373654	4.686623	0.250000	0.250000	0.250000	0.250000	11.872809	
64000	-37.105494	699	2	0	'0 0 1 1 1 0 1 1 	D	1.032519	1.032519	10.557550	10.557550	10.557550	1.032519	10.557550	10.557550	0.250000	0.250000	0.250000	0.250000	13.579077	
65000	-39.382176	147	2	0	'0 0 1 1 1 0 1 1 	D	1.363254	1.363254	6.945743	6.945743	6.945743	1.363254	6.945743	6.945743	0.250000	0.250000	0.250000	0.250000	15.160087	
66000	-38.047819	454	2	0	'0 0 0 1 1 0 1 1 	D	1.433949	1.433949	1.433949	38.602561	38.602561	1.433949	38.602561	38.602561	0.250000	0.250000	0.250000	0.250000	25.301916	
67000	-37.763797	512	2	1	'0 0 Z 1 1 0 1 1 	D	2.732814	2.732814	0.000000	50.770868	50.770868	2.732814	50.770868	50.770868	0.250000	0.250000	0.250000	0.250000	27.311047	
68000	-39.580008	777	2	3	'0 Z Z 1 1 Z 1 1 	D	3.090753	0.000000	0.000000	38.751534	38.751534	0.000000	38.751534	38.751534	0.250000	0.250000	0.250000	0.250000	44.298895	
69000	-38.027205	475	2	1	'0 0 0 1 1 Z 1 1 	D	2.257510	2.257510	2.257510	28.671047	28.671047	0.000000	28.671047	28.671047	0.250000	0.250000	0.250000	0.250000	41.039884	
70000	-37.540767	886	2	1	'0 0 0 1 1 Z 1 1 	D	0.587844	0.587844	0.587844	9.981809	9.981809	0.000000	9.981809	9.981809	0.250000	0.250000	0.250000	0.250000	20.949324	
71000	-37.711593	420	2	2	'0 0 Z 1 1 Z 1 1 	D	0.937543	0.937543	0.000000	22.024199	22.024199	0.000000	22.024199	22.024199	0.250000	0.250000	0.250000	0.250000	27.326671	
72000	-38.693660	142	2	1	'0 0 0 1 1 Z 1 1 	D	2.252434	2.252434	2.252434	23.760671	23.760671	0.000000	23.760671	23.760671	0.250000	0.250000	0.250000	0.250000	28.861443	
73000	-37.759661	539	2	1	'0 0 0 1 1 Z 1 1 	D	1.008498	1.008498	1.008498	14.329266	14.329266	0.000000	14.329266	14.329266	0.250000	0.250000	0.250000	0.250000	23.688330	
74000	-37.284341	748	2	0	'0 0 1 1 1 0 0 1 	D	3.927165	3.927165	43.287564	43.287564	43.287564	3.927165	3.927165	43.287564	0.250000	0.250000	0.250000	0.250000	29.115626	
75000	-38.824458	223	2	1	'0 0 1 Z 1 0 0 1 	D	2.702325	2.702325	21.636963	0.000000	21.636963	2.702325	2.702325	21.636963	0.250000	0.250000	0.250000	0.250000	29.753362	
76000	-38.609730	26	2	0	'0 0 1 0 1 0 0 1 	D	7.419427	7.419427	41.725196	7.419427	41.725196	7.419427	7.419427	41.725196	0.250000	0.250000	0.250000	0.250000	60.622810	
77000	-38.003044	445	2	1	'0 0 1 Z 1 0 0 0 	D	0.538678	0.538678	7.045896	0.000000	7.045896	0.538678	0.538678	0.538678	0.250000	0.250000	0.250000	0.250000	36.541678	
78000	-38.222270	38	2	2	'0 0 1 Z 1 0 Z 0 	D	1.724128	1.724128	20.070734	0.000000	20.070734	1.724128	0.000000	1.724128	0.250000	0.250000	0.250000	0.250000	22.983634	
79000	-39.179547	104	2	2	'0 0 1 Z 1 0 Z 0 	D	1.204534	1.204534	9.110563	0.000000	9.110563	1.204534	0.000000	1.204534	0.250000	0.250000	0.250000	0.249999	7.758792	
80000	-39.869879	892	2	1	'0 0 1 Z 1 0 0 1 	D	0.375944	0.375944	4.493335	0.000000	4.493335	0.375944	0.375944	4.493335	0.250000	0.250000	0.250000	0.250000	11.062962	
81000	-37.625244	328	2	1	'0 0 1 0 1 0 Z 1 	D	2.690776	2.690776	20.866461	2.690776	20.866461	2.690776	0.000000	20.866461	0.250000	0.250000	0.250000	0.250000	18.535722	
82000	-43.458957	44	2	1	'0 0 1 Z 1 0 1 1 	D	2.881960	2.881960	9.721828	0.000000	9.721828	2.881960	9.721828	9.721828	0.250000	0.250000	0.250000	0.250000	15.593967	
83000	-38.792723	579	2	0	'0 0 1 0 1 0 1 1 	I	0.422454	0.422454	3.849314	0.422454	3.849314	0.422454	3.849314	3.849314	0.250000	0.250000	0.250000	0.250000	2.771297	
84000	-40.693575	468	2	1	'0 0 1 Z 1 0 0 1 	D	1.140057	1.140057	16.071629	0.000000	16.071629	1.140057	1.140057	16.071629	0.250000	0.250000	0.250000	0.250000	10.447182	
85000	-38.221380	293	2	1	'1 1 0 1 0 1 Z 0 	D	0.820785	0.820785	9.264512	0.820785	9.264512	0.820785	0.000000	9.264512	0.250000	0.250000	0.250000	0.250000	3.779462	
86000	-38.106066	839	2	1	'1 1 0 1 0 1 Z 0 	D	0.538568	0.538568	5.874560	0.538568	5.874560	0.538568	0.000000	5.874560	0.250000	0.250000	0.250000	0.250000	3.457645	
87000	-38.279982	798	2	0	'1 1 0 1 0 1 1 1 	D	0.032123	0.032123	0.084833	0.032123	0.084833	0.032123	0.032123	0.032123	0.281162	0.368490	0.199422	0.150927	1.445672	
88000	-36.922874	902	2	1	'1 1 Z 1 0 1 1 1 	D	0.044153	0.044153	0.000000	0.044153	0.518609	0.044153	0.044153	0.044153	0.268548	0.043060	0.332758	0.355634	1.687250	
89000	-39.590661	354	1	1	'0 0 0 Z 0 0 0 0 	D	0.049377	0.049377	0.049377	0.000000	0.049377	0.049377	0.049377	0.049377	0.395204	0.057377	0.315385	0.232034	0.567983	
90000	-40.747510	99	1	1	'0 0 0 0 Z 0 0 0 	D	0.052272	0.052272	0.052272	0.052272	0.000000	0.052272	0.052272	0.052272	0.559953	0.352108	0.004840	0.083098	0.893005	
91000	-39.695931	52	1	1	'0 0 0 0 0 0 Z 0 	D	0.031262	0.031262	0.031262	0.031262	0.031262	0.031262	0.000000	0.031262	0.512186	0.415316	0.067677	0.004821	2.810747	
92000	-41.458095	122	1	0	'0 0 0 0 0 0 0 0 	I	0.068529	0.068529	0.068529	0.068529	0.068529	0.068529	0.068529	0.068529	0.278212	0.274950	0.224737	0.222101	11.430064	
93000	-38.807545	436	1	1	'0 0 0 0 0 Z 0 0 	D	0.032257	0.032257	0.032257	0.032257	0.032257	0.000000	0.032257	0.032257	0.239953	0.522861	0.005314	0.231872	0.439520	
94000	-38.686043	894	1	1	'0 0 0 0 0 0 0 Z 	D	0.091922	0.091922	0.091922	0.091922	0.091922	0.091922	0.091922	0.000000	0.378467	0.302383	0.191552	0.127598	0.852699	
95000	-39.195180	154	1	1	'0 0 0 0 0 0 Z 0 	D	0.035908	0.035908	0.035908	0.035908	0.035908	0.035908	0.000000	0.035908	0.436359	0.341770	0.178548	0.043324	0.969847	
