Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=0_Wax1=0.txt
Log File Name:                   LL1=0_Wax1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            455755352
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=0_Wax1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
96000	-37.409228	768	1	1	'0 0 0 0 0 0 0 Z 	D	0.018708	0.018708	0.018708	0.018708	0.018708	0.018708	0.018708	0.000000	0.474089	0.357787	0.102080	0.066044	1.682651	
97000	-41.138165	90	1	3	'0 0 Z Z 0 0 Z 0 	D	0.043202	0.043202	0.000000	0.000000	0.043202	0.043202	0.000000	0.043202	0.481586	0.000000	0.410077	0.108337	10.738351	
98000	-38.578636	758	1	1	'0 0 Z 0 0 0 0 0 	D	0.045783	0.045783	0.000000	0.045783	0.045783	0.045783	0.045783	0.045783	0.615887	0.006578	0.294945	0.082590	17.818895	
99000	-37.010671	637	1	1	'0 0 0 0 0 0 0 Z 	D	0.036833	0.036833	0.036833	0.036833	0.036833	0.036833	0.036833	0.000000	0.368093	0.339690	0.162388	0.129828	5.582048	
100000	-38.322615	855	1	1	'0 0 0 0 0 0 0 Z 	D	0.028699	0.028699	0.028699	0.028699	0.028699	0.028699	0.028699	0.000000	0.532601	0.290195	0.122812	0.054392	0.104779	
101000	-37.764301	283	1	2	'0 0 0 0 0 0 Z Z 	D	0.027087	0.027087	0.027087	0.027087	0.027087	0.027087	0.000000	0.000000	0.456421	0.425849	0.117730	0.000000	0.680352	
102000	-39.476342	928	1	3	'0 0 0 Z 0 0 Z Z 	D	0.025277	0.025277	0.025277	0.000000	0.025277	0.025277	0.000000	0.000000	0.716548	0.031129	0.252324	0.000000	7.140983	
103000	-39.503892	60	1	2	'0 0 Z Z 0 0 0 0 	D	0.023525	0.023525	0.000000	0.000000	0.023525	0.023525	0.023525	0.023525	0.506203	0.000000	0.399560	0.094237	16.750033	
104000	-38.911153	274	1	1	'0 0 0 0 0 0 0 Z 	D	0.016150	0.016150	0.016150	0.016150	0.016150	0.016150	0.016150	0.000000	0.393003	0.454705	0.074502	0.077789	15.926909	
105000	-40.761787	152	1	1	'0 0 0 0 0 Z 0 0 	D	0.076838	0.076838	0.076838	0.076838	0.076838	0.000000	0.076838	0.076838	0.316655	0.408014	0.057487	0.217844	23.931752	
106000	-39.806349	735	1	2	'0 0 0 Z 0 0 Z 0 	D	0.031081	0.031081	0.031081	0.000000	0.031081	0.031081	0.000000	0.031081	0.659278	0.039872	0.268337	0.032512	30.065684	
107000	-38.430595	368	1	1	'0 0 0 0 0 0 0 Z 	D	0.062639	0.062639	0.062639	0.062639	0.062639	0.062639	0.062639	0.000000	0.405420	0.302232	0.180884	0.111465	42.510708	
108000	-38.257500	568	1	0	'0 0 0 0 0 0 0 0 	I	0.038539	0.038539	0.038539	0.038539	0.038539	0.038539	0.038539	0.038539	0.378588	0.269299	0.205755	0.146359	46.952268	
109000	-39.471903	237	1	3	'0 0 0 Z 0 0 Z Z 	D	0.020834	0.020834	0.020834	0.000000	0.020834	0.020834	0.000000	0.000000	0.742528	0.027522	0.229950	0.000000	50.250083	
110000	-39.167694	752	1	2	'0 0 0 0 Z Z 0 0 	D	0.029231	0.029231	0.029231	0.029231	0.000000	0.000000	0.029231	0.029231	0.302427	0.562303	0.000000	0.135270	27.239096	
111000	-38.650524	188	1	1	'0 0 0 0 0 0 Z 0 	D	0.017331	0.017331	0.017331	0.017331	0.017331	0.017331	0.000000	0.017331	0.421357	0.481587	0.087218	0.009838	40.896797	
112000	-40.587706	632	1	1	'0 0 0 Z 0 0 0 0 	D	0.023658	0.023658	0.023658	0.000000	0.023658	0.023658	0.023658	0.023658	0.416956	0.017348	0.288455	0.277241	50.021645	
113000	-38.867384	902	1	1	'0 0 0 0 0 0 Z 0 	D	0.022941	0.022941	0.022941	0.022941	0.022941	0.022941	0.000000	0.022941	0.411648	0.480044	0.096012	0.012296	55.688472	
114000	-39.268260	12	1	1	'0 0 0 0 0 0 0 Z 	D	0.020475	0.020475	0.020475	0.020475	0.020475	0.020475	0.020475	0.000000	0.364898	0.360041	0.146748	0.128313	65.479102	
115000	-39.995490	302	1	2	'0 0 0 0 0 0 Z Z 	D	0.058337	0.058337	0.058337	0.058337	0.058337	0.058337	0.000000	0.000000	0.454415	0.361142	0.184444	0.000000	66.549403	
116000	-39.616055	21	1	3	'0 0 Z 0 Z 0 Z 0 	D	0.035289	0.035289	0.000000	0.035289	0.000000	0.035289	0.000000	0.035289	1.000000	0.000000	0.000000	0.000000	54.204258	
117000	-39.353195	731	1	4	'0 0 Z Z 0 0 Z Z 	D	0.029041	0.029041	0.000000	0.000000	0.029041	0.029041	0.000000	0.000000	0.600089	0.000000	0.399911	0.000000	61.199622	
118000	-38.358641	877	1	2	'0 0 0 0 0 Z 0 Z 	D	0.040113	0.040113	0.040113	0.040113	0.040113	0.000000	0.040113	0.000000	0.301313	0.480761	0.017013	0.200914	80.423442	
119000	-39.442262	511	1	4	'0 0 Z 0 0 Z Z Z 	D	0.020904	0.020904	0.000000	0.020904	0.020904	0.000000	0.000000	0.000000	0.994731	0.000000	0.005269	0.000000	73.354650	
120000	-42.790279	757	1	4	'0 0 Z 0 0 Z Z Z 	D	0.061571	0.061571	0.000000	0.061571	0.061571	0.000000	0.000000	0.000000	0.863789	0.000000	0.136211	0.000000	83.332951	
121000	-38.908617	33	1	3	'0 0 0 Z 0 0 Z Z 	D	0.038118	0.038118	0.038118	0.000000	0.038118	0.038118	0.000000	0.000000	0.652379	0.029803	0.317818	0.000000	71.903999	
122000	-37.458187	102	1	2	'0 0 0 0 0 0 Z Z 	D	0.062141	0.062141	0.062141	0.062141	0.062141	0.062141	0.000000	0.000000	0.406892	0.361592	0.231516	0.000000	69.443407	
123000	-39.857767	557	1	1	'0 0 0 Z 0 0 0 0 	D	0.026878	0.026878	0.026878	0.000000	0.026878	0.026878	0.026878	0.026878	0.406706	0.021912	0.322768	0.248614	52.585162	
124000	-38.329215	329	1	1	'0 0 0 0 0 0 0 Z 	D	0.020546	0.020546	0.020546	0.020546	0.020546	0.020546	0.020546	0.000000	0.497345	0.324924	0.113544	0.064188	57.278269	
125000	-41.522499	783	1	1	'0 0 0 Z 0 0 0 0 	D	0.043822	0.043822	0.043822	0.000000	0.043822	0.043822	0.043822	0.043822	0.535213	0.058892	0.257215	0.148681	38.341328	
126000	-39.231878	570	1	3	'0 0 0 0 Z Z 0 Z 	D	0.036870	0.036870	0.036870	0.036870	0.000000	0.000000	0.036870	0.000000	0.260273	0.539237	0.000000	0.200490	22.508827	
127000	-38.137537	664	1	3	'0 0 0 0 0 Z Z Z 	D	0.021568	0.021568	0.021568	0.021568	0.021568	0.000000	0.000000	0.000000	0.333015	0.662146	0.004839	0.000000	8.290477	
128000	-39.763501	583	1	2	'0 0 Z 0 0 Z 0 0 	D	0.028665	0.028665	0.000000	0.028665	0.028665	0.000000	0.028665	0.028665	0.870026	0.005896	0.016143	0.107935	13.639705	
129000	-39.436611	594	1	2	'0 0 0 0 Z Z 0 0 	D	0.029456	0.029456	0.029456	0.029456	0.000000	0.000000	0.029456	0.029456	0.267980	0.564127	0.000000	0.167892	30.788501	
130000	-41.720842	87	1	1	'0 0 0 0 0 0 0 Z 	D	0.107561	0.107561	0.107561	0.107561	0.107561	0.107561	0.107561	0.000000	0.285681	0.270506	0.238874	0.204939	50.996196	
131000	-40.579621	485	1	3	'0 0 0 0 0 Z Z Z 	D	0.050381	0.050381	0.050381	0.050381	0.050381	0.000000	0.000000	0.000000	0.436462	0.543779	0.019760	0.000000	70.074882	
132000	-39.756517	147	1	2	'0 0 Z 0 0 Z 0 0 	D	0.021973	0.021973	0.000000	0.021973	0.021973	0.000000	0.021973	0.021973	0.871989	0.002337	0.010757	0.114917	77.504704	
133000	-37.322097	559	1	1	'0 0 0 0 0 0 Z 0 	D	0.047659	0.047659	0.047659	0.047659	0.047659	0.047659	0.000000	0.047659	0.397027	0.319277	0.211575	0.072122	96.575731	
