Options:
Model:                           Discrete: Independent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=0_LA1=2.txt
Log File Name:                   LL1=0_LA1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2334803224
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=0_LA1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
47000	-59.625175	209	2	0	'1 0 0 0 	6.102370	41.793530	41.793530	41.793530	0.250000	0.250000	0.250000	0.250000	34.936428	
48000	-59.552729	269	2	0	'1 0 0 0 	3.606372	22.023438	22.023438	22.023438	0.250000	0.250000	0.250000	0.250000	31.848044	
49000	-59.638926	396	2	0	'1 0 0 0 	7.444202	51.666544	51.666544	51.666544	0.250000	0.250000	0.250000	0.250000	26.670551	
50000	-61.446024	657	2	0	'0 1 1 1 	1.304445	17.432083	17.432083	17.432083	0.250000	0.250000	0.250000	0.250000	42.140925	
51000	-59.958186	223	2	0	'0 1 1 1 	2.333197	19.682894	19.682894	19.682894	0.250000	0.250000	0.250000	0.250000	34.166373	
52000	-59.575237	411	2	0	'0 1 1 1 	3.412270	18.342003	18.342003	18.342003	0.250000	0.250000	0.250000	0.250000	20.450025	
53000	-60.528648	103	2	0	'0 1 1 1 	2.574287	9.124476	9.124476	9.124476	0.250000	0.250000	0.250000	0.250000	35.456006	
54000	-60.208930	648	2	0	'0 1 1 1 	12.866355	49.718542	49.718542	49.718542	0.250000	0.250000	0.250000	0.250000	27.113839	
55000	-60.232035	325	2	0	'0 1 1 1 	9.051339	34.735201	34.735201	34.735201	0.250000	0.250000	0.250000	0.250000	28.464720	
56000	-59.617407	273	2	0	'0 1 1 1 	5.006346	25.556835	25.556835	25.556835	0.250000	0.250000	0.250000	0.250000	31.766270	
57000	-60.381184	82	2	0	'0 1 1 1 	5.870024	21.602343	21.602343	21.602343	0.250000	0.250000	0.250000	0.250000	24.465451	
58000	-62.025220	990	2	0	'0 1 1 1 	7.034958	18.958650	18.958650	18.958650	0.250000	0.250000	0.250000	0.250000	12.843170	
59000	-59.854613	69	2	0	'0 1 1 1 	1.415054	11.345629	11.345629	11.345629	0.250000	0.250000	0.250000	0.250000	7.819095	
60000	-59.668346	903	2	0	'0 1 1 1 	0.727443	5.179606	5.179606	5.179606	0.250000	0.250000	0.250000	0.250000	15.370059	
61000	-59.578562	761	2	0	'0 1 1 1 	1.795825	9.603529	9.603529	9.603529	0.250000	0.250000	0.250000	0.250000	8.322921	
62000	-59.908567	685	2	0	'0 1 1 1 	0.614852	5.066331	5.066331	5.066331	0.250000	0.250000	0.250000	0.250000	4.051093	
63000	-60.147349	436	2	0	'0 1 1 1 	0.700224	2.757712	2.757712	2.757712	0.250000	0.250000	0.250000	0.250000	5.077290	
64000	-59.843657	125	2	0	'0 1 1 1 	4.360892	19.273772	19.273772	19.273772	0.250000	0.250000	0.250000	0.250000	13.037939	
65000	-59.569193	568	2	0	'0 1 1 1 	2.090025	13.303360	13.303360	13.303360	0.250000	0.250000	0.250000	0.250000	19.089302	
66000	-59.555491	592	2	0	'0 1 1 1 	7.531734	42.191703	42.191703	42.191703	0.250000	0.250000	0.250000	0.250000	14.896338	
67000	-59.757241	426	2	0	'0 1 1 1 	12.853130	59.356553	59.356553	59.356553	0.250000	0.250000	0.250000	0.250000	44.015209	
68000	-60.984345	672	2	0	'0 1 1 1 	2.223158	26.436797	26.436797	26.436797	0.250000	0.250000	0.250000	0.250000	48.917922	
69000	-60.783293	869	2	0	'0 1 1 1 	8.392135	28.065604	28.065604	28.065604	0.250000	0.250000	0.250000	0.250000	49.820873	
70000	-59.730228	439	2	0	'0 1 1 1 	5.128586	38.216485	38.216485	38.216485	0.250000	0.250000	0.250000	0.250000	60.591459	
71000	-59.591018	414	2	0	'0 1 1 1 	11.079937	58.246048	58.246048	58.246048	0.250000	0.250000	0.250000	0.250000	80.864797	
72000	-59.712639	881	2	0	'0 1 1 1 	9.222954	67.902038	67.902038	67.902038	0.250000	0.250000	0.250000	0.250000	67.715740	
73000	-59.627223	4	2	0	'0 1 1 1 	9.721595	49.163510	49.163510	49.163510	0.250000	0.250000	0.250000	0.250000	61.007040	
74000	-59.644626	809	2	0	'0 1 1 1 	13.395001	66.712704	66.712704	66.712704	0.250000	0.250000	0.250000	0.250000	65.724131	
75000	-60.436719	538	2	0	'0 1 1 1 	6.605313	66.869182	66.869182	66.869182	0.250000	0.250000	0.250000	0.250000	41.209832	
76000	-59.977295	212	2	0	'0 1 1 1 	13.698534	57.241410	57.241410	57.241410	0.250000	0.250000	0.250000	0.250000	39.024696	
77000	-59.712266	146	2	0	'0 1 1 1 	5.534496	26.250888	26.250888	26.250888	0.250000	0.250000	0.250000	0.250000	35.522028	
78000	-59.569005	508	2	0	'0 1 1 1 	3.512388	19.081094	19.081094	19.081094	0.250000	0.250000	0.250000	0.250000	35.730218	
79000	-59.923944	122	2	0	'0 1 1 1 	8.905191	73.925724	73.925724	73.925724	0.250000	0.250000	0.250000	0.250000	34.071594	
80000	-59.819465	55	2	0	'0 1 1 1 	5.158270	40.579333	40.579333	40.579333	0.250000	0.250000	0.250000	0.250000	58.558014	
81000	-59.553795	513	2	0	'0 1 1 1 	3.590435	22.011643	22.011643	22.011643	0.250000	0.250000	0.250000	0.250000	67.886152	
82000	-59.581054	242	2	0	'0 1 1 1 	3.098804	20.120654	20.120654	20.120654	0.250000	0.250000	0.250000	0.250000	72.137038	
83000	-59.744010	471	2	0	'0 1 1 1 	7.881826	36.673476	36.673476	36.673476	0.250000	0.250000	0.250000	0.250000	75.687452	
84000	-59.772400	836	2	0	'0 1 1 1 	1.090940	8.350784	8.350784	8.350784	0.250000	0.250000	0.250000	0.250000	71.591586	
85000	-59.792005	795	2	0	'0 1 1 1 	6.189580	47.936045	47.936045	47.936045	0.250000	0.250000	0.250000	0.250000	79.618789	
86000	-59.556013	844	2	0	'0 1 1 1 	14.852126	91.705768	91.705768	91.705768	0.250000	0.250000	0.250000	0.250000	63.238749	
87000	-60.566776	781	2	0	'0 1 1 1 	2.435440	25.695421	25.695421	25.695421	0.250000	0.250000	0.250000	0.250000	58.354927	
88000	-60.788744	261	2	0	'0 1 1 1 	23.127458	77.254268	77.254268	77.254268	0.250000	0.250000	0.250000	0.250000	88.602381	
89000	-59.651367	681	2	0	'0 1 1 1 	18.785836	93.044896	93.044896	93.044896	0.250000	0.250000	0.250000	0.250000	53.196115	
90000	-59.748473	165	2	0	'0 1 1 1 	18.642365	86.519247	86.519247	86.519247	0.250000	0.250000	0.250000	0.250000	53.031696	
91000	-60.088654	870	2	0	'0 1 1 1 	7.192356	64.191122	64.191122	64.191122	0.250000	0.250000	0.250000	0.250000	42.492640	
92000	-60.877435	674	2	0	'0 1 1 1 	5.887051	19.302127	19.302127	19.302127	0.250000	0.250000	0.250000	0.250000	42.428971	
93000	-59.603593	964	2	0	'0 1 1 1 	8.581355	44.445247	44.445247	44.445247	0.250000	0.250000	0.250000	0.250000	40.899701	
94000	-59.679731	127	2	0	'0 1 1 1 	1.348035	9.685952	9.685952	9.685952	0.250000	0.250000	0.250000	0.250000	30.246237	
95000	-63.076150	649	2	0	'0 1 1 1 	4.494814	84.795888	84.795888	84.795888	0.250000	0.250000	0.250000	0.250000	46.495054	
96000	-60.345120	874	2	0	'0 1 1 1 	21.250198	78.967621	78.967621	78.967621	0.250000	0.250000	0.250000	0.250000	22.642852	
97000	-60.202577	739	2	0	'0 1 1 1 	2.575517	24.029091	24.029091	24.029091	0.250000	0.250000	0.250000	0.250000	7.329301	
98000	-59.568661	578	2	0	'0 1 1 1 	3.130507	19.851446	19.851446	19.851446	0.250000	0.250000	0.250000	0.250000	8.900988	
99000	-59.566554	576	2	0	'0 1 1 1 	8.733463	47.663079	47.663079	47.663079	0.250000	0.250000	0.250000	0.250000	14.646478	
100000	-60.331708	214	2	0	'0 1 1 1 	1.483909	14.501471	14.501471	14.501471	0.250000	0.250000	0.250000	0.250000	10.777848	
101000	-59.549893	848	2	0	'0 1 1 1 	3.624243	21.845854	21.845854	21.845854	0.250000	0.250000	0.250000	0.250000	10.564541	
102000	-59.559921	562	2	0	'0 1 1 1 	1.940537	10.742301	10.742301	10.742301	0.250000	0.250000	0.250000	0.250000	6.847592	
103000	-59.805193	964	2	0	'0 1 1 1 	3.089171	13.976719	13.976719	13.976719	0.250000	0.250000	0.250000	0.250000	10.374813	
104000	-59.731703	460	2	0	'0 1 1 1 	4.188043	31.238683	31.238683	31.238683	0.250000	0.250000	0.250000	0.250000	24.175117	
105000	-59.587436	985	2	0	'0 1 1 1 	7.401247	39.088254	39.088254	39.088254	0.250000	0.250000	0.250000	0.250000	28.793156	
106000	-59.687485	423	2	0	'0 1 1 1 	12.990345	93.897913	93.897913	93.897913	0.250000	0.250000	0.250000	0.250000	43.562997	
107000	-59.553525	280	2	0	'0 1 1 1 	11.154108	68.316652	68.316652	68.316652	0.250000	0.250000	0.250000	0.250000	44.996026	
108000	-59.950807	977	2	0	'0 1 1 1 	1.623270	13.647289	13.647289	13.647289	0.250000	0.250000	0.250000	0.250000	19.907067	
109000	-62.186455	616	2	0	'0 1 1 1 	0.332123	5.241196	5.241196	5.241196	0.250000	0.250000	0.250000	0.250000	4.472251	
110000	-59.777821	517	2	0	'0 1 1 1 	2.279067	17.502764	17.502764	17.502764	0.250000	0.250000	0.250000	0.250000	9.015977	
111000	-62.800784	124	2	0	'0 1 1 1 	7.111786	17.272917	17.272917	17.272917	0.250000	0.250000	0.250000	0.250000	5.549460	
112000	-59.656123	790	2	0	'0 1 1 1 	1.130902	5.580069	5.580069	5.580069	0.250000	0.250000	0.250000	0.250000	10.136736	
113000	-60.169447	44	2	0	'0 1 1 1 	1.036384	9.548931	9.548931	9.548931	0.250000	0.250000	0.250000	0.250000	13.262615	
114000	-59.621673	394	2	0	'0 1 1 1 	1.114156	7.603380	7.603380	7.603380	0.250000	0.250000	0.250000	0.250000	3.952532	
115000	-60.277046	647	2	0	'0 1 1 1 	11.410977	43.221402	43.221402	43.221402	0.250000	0.250000	0.250000	0.250000	15.963677	
116000	-60.734283	465	2	0	'0 1 1 1 	1.948056	16.134400	16.134400	16.134400	0.250000	0.250000	0.250000	0.250000	16.948606	
117000	-59.656686	371	2	0	'0 1 1 1 	4.603238	25.661186	25.661186	25.661186	0.250000	0.250000	0.250000	0.250000	18.950884	
118000	-59.587623	557	2	0	'0 1 1 1 	1.842711	9.729517	9.729517	9.729517	0.250000	0.250000	0.250000	0.250000	30.179209	
119000	-59.600365	111	2	0	'0 1 1 1 	2.070193	13.796236	13.796236	13.796236	0.250000	0.250000	0.250000	0.250000	31.102743	
120000	-59.606385	74	2	0	'0 1 1 1 	1.999959	10.326684	10.326684	10.326684	0.250000	0.250000	0.250000	0.250000	27.431591	
121000	-61.439969	464	2	0	'0 1 1 1 	18.336200	54.149819	54.149819	54.149819	0.250000	0.250000	0.250000	0.250000	28.159961	
122000	-62.205567	576	2	0	'0 1 1 1 	15.327392	40.259202	40.259202	40.259202	0.250000	0.250000	0.250000	0.250000	45.586582	
123000	-59.675840	343	2	0	'0 1 1 1 	9.760187	69.915053	69.915053	69.915053	0.250000	0.250000	0.250000	0.250000	55.807414	
124000	-59.595624	363	2	0	'0 1 1 1 	13.549489	89.766867	89.766867	89.766867	0.250000	0.250000	0.250000	0.250000	65.102364	
125000	-59.934955	730	2	0	'0 1 1 1 	10.285129	43.697636	43.697636	43.697636	0.250000	0.250000	0.250000	0.250000	68.851946	
126000	-59.727822	538	2	0	'0 1 1 1 	17.676836	83.039877	83.039877	83.039877	0.250000	0.250000	0.250000	0.250000	78.409134	
127000	-59.731715	627	2	0	'1 0 0 0 	5.823591	43.438594	43.438594	43.438594	0.250000	0.250000	0.250000	0.250000	56.023871	
128000	-59.813745	474	2	0	'1 0 0 0 	1.879538	14.738825	14.738825	14.738825	0.250000	0.250000	0.250000	0.250000	56.023963	
129000	-59.850177	483	2	0	'1 0 0 0 	9.710241	42.967210	42.967210	42.967210	0.250000	0.250000	0.250000	0.250000	63.263204	
130000	-59.762415	501	2	0	'1 0 0 0 	17.277180	79.558242	79.558242	79.558242	0.250000	0.250000	0.250000	0.250000	64.919655	
131000	-60.702912	820	2	0	'1 0 0 0 	18.958589	64.526541	64.526541	64.526541	0.250000	0.250000	0.250000	0.250000	86.765723	
132000	-59.725282	67	2	0	'1 0 0 0 	7.233602	53.596710	53.596710	53.596710	0.250000	0.250000	0.250000	0.250000	99.229909	
133000	-59.907896	228	2	0	'1 0 0 0 	15.760442	67.709417	67.709417	67.709417	0.250000	0.250000	0.250000	0.250000	99.538442	
134000	-60.189170	926	2	0	'1 0 0 0 	8.216891	76.277128	76.277128	76.277128	0.250000	0.250000	0.250000	0.250000	84.499996	
135000	-59.794204	395	2	0	'1 0 0 0 	11.514691	89.291577	89.291577	89.291577	0.250000	0.250000	0.250000	0.250000	79.948817	
136000	-60.854155	792	2	0	'1 0 0 0 	19.256513	63.442181	63.442181	63.442181	0.250000	0.250000	0.250000	0.250000	90.284694	
